date,open,high,low,close,volume
20250116,82300,82300,80500,80500,19943
20250115,82000,83300,81200,81600,54682
20250114,84700,84700,81500,81800,80181
20250113,84700,85200,83200,84300,42444
20250110,85500,86900,84800,84800,49717
20250109,85800,87300,85500,85500,73607
20250108,85200,87000,84700,86100,59463
20250107,89000,89000,85600,85700,79305
20250106,86300,88300,84800,87000,76586
20250103,83700,87400,83500,85100,52667
20250102,84600,85900,81300,84100,77119
20241230,84900,85600,82800,84400,93648
20241227,86500,91000,85200,85700,435740
20241226,83000,83200,81000,81200,34883
20241224,82700,83400,81800,82200,30324
20241223,81600,82800,80400,82500,38073
20241220,81600,82200,80200,80900,48838
20241219,83200,83400,81500,81600,49319
20241218,83300,84600,82700,84200,35583
20241217,84000,84300,82600,82600,43784
20241216,85700,86200,83500,84000,38349
20241213,83700,86300,83400,85700,65244
20241212,83200,85700,82800,83700,81364
20241211,81500,83700,81100,83000,41849
20241210,79500,82600,79500,82100,50514
20241209,80500,80600,78100,79200,44266
20241206,80700,82100,79600,81100,38827
20241205,82400,82600,80700,81500,30893
20241204,83800,84400,82200,83000,36911
20241203,83000,85100,82100,84400,55276
20241202,82700,83500,81800,82000,41669
20241129,83000,83200,81600,81900,34329
20241128,81400,84400,80400,82900,71800
20241127,81500,82400,80400,80800,47011
20241126,79500,81500,78800,81400,54833
20241125,80200,80800,79400,80000,44999
20241122,79300,80300,78900,79400,34189
20241121,81600,81600,79200,79200,44463
20241120,79700,81800,79100,81300,48211
20241119,79000,79800,78000,79600,31015
20241118,77300,79700,77300,78900,48141
20241115,78900,79300,76800,77900,310316
20241114,79600,80500,78300,78900,55067
20241113,78300,80600,78300,79600,47375
20241112,82500,83100,80200,80200,83160
20241111,86800,87400,82700,83100,122353
20241108,87000,90600,86400,88300,83856
20241107,88100,88500,86100,86200,69878
20241106,88700,89400,87700,88900,51365
20241105,88200,90600,88200,88600,51628
20241104,88100,89400,87800,89000,39487
20241101,87100,90000,86200,88400,61976
20241031,87200,88200,85400,87800,71793
20241030,89900,90000,86400,87300,93158
20241029,89200,90500,87800,90500,39903
20241028,88700,89900,88300,89200,29943
20241025,90600,90600,88300,88700,82686
20241024,89600,90500,87700,90500,59926
20241023,86400,90300,86400,89200,102370
20241022,88300,88300,84200,87100,127463
20241021,89500,89500,87700,88300,64787
20241018,88300,89300,87900,89300,53969
20241017,89100,89300,87600,88100,59951
20241016,88500,89100,86700,88800,96762
20241015,90200,90400,87900,89000,86115
20241014,89500,90400,89100,90200,41381
20241011,91000,91300,89200,89500,45708
20241010,90700,91000,89100,90500,107033
20241008,92000,92200,89500,89800,102652
20241007,93200,93200,91700,92000,40658
20241004,92300,93600,91300,92700,44562
20241002,92000,93600,90600,92900,63640
20240930,98500,98800,93100,93100,106076
20240927,97900,99000,96500,97600,54008
20240926,97900,97900,96100,97200,59291
20240925,99100,100000,97100,97100,58256
20240924,98900,99300,97700,98300,39208
20240923,97500,99300,96400,98400,71386
20240920,100200,100600,96700,96700,113030
20240919,102200,102300,98500,99700,59675
20240913,102000,102000,100100,101400,41872
20240912,104400,105100,99700,101700,158310
20240911,99900,105400,99700,104000,184153
20240910,101100,103700,98400,98500,112656
20240909,99800,102000,97800,101500,101881
20240906,97400,102500,97100,100800,229007
20240905,93000,98300,92200,97400,122622
20240904,95000,95000,91600,92100,90424
20240903,93800,96900,93800,96500,56391
20240902,95100,95700,93600,94100,48478
20240830,94300,96000,93600,94300,84169
20240829,95000,95300,93300,93400,71651
20240828,97400,97400,94200,95900,69260
20240827,96600,97800,93700,97400,100473
20240826,94000,97000,93500,96400,76500
20240823,92300,94100,92100,93800,55912
20240822,93500,94200,91400,91800,77812
20240821,94200,96200,93500,93500,69450
20240820,94700,95200,93400,93800,76247
20240819,94300,95100,92800,94600,65741
20240816,96900,96900,93900,93900,97479
20240814,95000,96000,93200,96000,94050
20240813,100300,101100,94000,94000,143072
20240812,100000,101500,99500,100300,81752
20240809,100200,101600,98500,98600,78408
20240808,98000,101000,97400,99200,130553
20240807,96100,100300,95800,97900,73964
20240806,94200,99400,94200,96700,73926
20240805,99700,100000,91000,93300,102931
20240802,97700,101800,96700,99700,156302
20240801,98500,100500,97600,98800,100389
20240731,97300,100500,96600,98500,133032
20240730,95200,99300,94700,97300,130288
20240729,94200,96900,94000,95500,44652
20240726,94600,95100,93300,94200,47625
20240725,95900,97400,94100,94500,87113
20240724,92300,97000,91600,96000,138210
20240723,91200,95300,90900,93100,108741
20240722,93200,93200,90900,91200,48072
20240719,91300,93500,89800,93200,94759
20240718,90400,91200,89100,90700,63235
20240717,91800,92500,89700,90300,104786
20240716,91100,93300,90700,91600,68660
20240715,93000,93700,90300,90600,72220
20240712,92300,92900,91600,92200,29244
20240711,92200,94400,91800,91900,113223
20240710,93700,93800,91800,91900,45050
20240709,93000,93800,92300,93200,46913
20240708,92800,93300,91800,92600,31739
20240705,95000,95600,92100,93400,57148
20240704,95500,95600,93600,94700,43644
20240703,93200,95300,92100,94300,77262
20240702,94800,94800,92200,92700,91403
20240701,94500,95900,94100,95300,39208
20240628,94300,96000,94300,95100,65917
