date,open,high,low,close,volume
20250116,19920,19930,19720,19780,515485
20250115,18740,19890,18700,19800,4866843
20250114,18600,18880,18450,18610,1025132
20250113,18920,18940,18520,18580,1189406
20250110,18850,19170,18820,18900,1162228
20250109,19250,19880,18890,18910,3470021
20250108,18760,19360,18760,19050,1672205
20250107,18890,19200,18670,18870,1108266
20250106,18500,19000,18210,18900,2068487
20250103,17800,18490,17790,18370,1879525
20250102,17660,17830,17460,17700,524128
20241230,17540,17880,17260,17660,645625
20241227,17840,17900,17500,17530,886708
20241226,18250,18260,18010,18020,611163
20241224,18090,18370,18010,18170,771341
20241223,18400,18410,17770,17970,1084305
20241220,17890,18640,17890,18400,2135651
20241219,17990,18120,17760,17970,906440
20241218,18340,18420,18040,18210,752351
20241217,18470,18470,17810,18300,1030742
20241216,18860,18870,18250,18490,1144732
20241213,18680,18800,18370,18800,1133438
20241212,18860,18870,18550,18630,1833042
20241211,18360,18800,18250,18770,1263455
20241210,17800,18440,17800,18360,1000915
20241209,17850,17930,17400,17800,1097019
20241206,18220,18500,17750,18000,1158312
20241205,17950,18370,17790,18210,1153278
20241204,17980,18050,17660,17820,895514
20241203,17800,18400,17620,18150,1128212
20241202,18110,18150,17650,17650,829475
20241129,18680,18680,17950,17960,1436014
20241128,18600,18810,18400,18620,1403971
20241127,18500,18800,18350,18520,1298176
20241126,18700,18750,18260,18500,1516379
20241125,18650,19090,18450,18880,2304574
20241122,18540,18810,18460,18590,1709951
20241121,18390,18800,18300,18700,2190816
20241120,18150,18460,18040,18320,968001
20241119,17940,18540,17940,18320,1909139
20241118,18310,18590,17700,18060,1921161
20241115,17670,18400,17620,18240,3189617
20241114,17190,18500,16680,17620,5563674
20241113,15830,17030,15830,17020,3172583
20241112,15580,16330,15570,16020,2136117
20241111,16910,16950,15750,15750,2825377
20241108,17200,17440,16940,17050,848496
20241107,17050,17210,16860,17100,857173
20241106,17840,17840,17010,17080,1134303
20241105,17620,17840,17360,17840,762715
20241104,17110,17860,17000,17860,1421648
20241101,17060,17340,16880,17070,617357
20241031,17350,17350,16910,17120,968190
20241030,17360,17360,17060,17270,505355
20241029,17140,17360,17100,17360,568175
20241028,16900,17300,16850,17290,891680
20241025,16960,17130,16700,16830,751295
20241024,17050,17160,16860,17050,665449
20241023,17150,17160,16870,17050,644649
20241022,17400,17440,16950,17160,903829
20241021,17230,17580,17190,17450,806301
20241018,17490,17490,17110,17180,777839
20241017,17360,17610,17280,17450,1065982
20241016,16970,17460,16840,17360,1082946
20241015,17340,17340,16980,17040,1061494
20241014,17110,17260,16940,17240,1007693
20241011,17030,17100,16850,16870,582198
20241010,17180,17190,16870,16870,1617334
20241008,16960,17160,16960,17060,1133597
20241007,16980,17190,16930,17040,1159105
20241004,17540,17710,16800,17100,2587163
20241002,18850,18890,17810,17990,1819617
20240930,18970,19430,18530,18530,2297036
20240927,18700,18920,18450,18860,1917143
20240926,18460,18680,18110,18680,1797256
20240925,18400,18700,18350,18460,2290894
20240924,17850,18220,17690,18220,1795826
20240923,17730,17870,17470,17730,1046019
20240920,17370,17630,17170,17630,1612983
20240919,17150,17310,16960,17310,1377146
20240913,16690,17040,16630,16860,978328
20240912,16600,16650,16450,16550,1163090
20240911,16860,16980,16330,16490,886287
20240910,16310,16830,16310,16530,862248
20240909,15990,16270,15880,16270,784291
20240906,16710,16870,16220,16270,761044
20240905,16420,16800,16410,16800,895262
20240904,16500,16700,16210,16370,1386472
20240903,16710,16930,16710,16900,585079
20240902,16970,17030,16660,16710,1273429
20240830,17200,17300,16970,16970,2827509
20240829,17380,17440,17040,17100,955488
20240828,17370,17520,17210,17380,848363
20240827,17840,17850,17300,17360,1025978
20240826,17630,17780,17570,17700,753354
20240823,17870,17960,17450,17630,948573
20240822,17820,17990,17760,17970,892672
20240821,17780,17920,17650,17820,734098
20240820,18120,18330,17680,17800,1655306
20240819,18070,18280,17820,17920,1470607
20240816,17900,18070,17770,17940,1305044
20240814,17900,17900,17090,17630,2030911
20240813,17570,17980,17190,17500,2294941
20240812,17530,17700,17400,17570,1065617
20240809,17370,17590,17260,17370,997880
20240808,17030,17480,16960,17310,1506102
20240807,17260,17670,17060,17160,1715297
20240806,16440,17680,16440,17230,2634787
20240805,18290,18540,15800,16280,3835937
20240802,18080,18280,17650,18210,1947461
20240801,18200,18390,17850,18290,1769832
20240731,17600,18200,17360,18200,2087875
20240730,17230,17810,17220,17550,2169270
20240729,17190,17540,17060,17230,1504136
20240726,16800,17300,16800,17090,1067622
20240725,16970,17090,16710,16940,1186222
20240724,16770,17060,16700,16970,1226039
20240723,17170,17300,16900,16900,1208833
20240722,17190,17350,16880,17030,1314697
20240719,17850,18040,17180,17250,2077387
20240718,17980,18050,17650,18000,1297197
20240717,18200,18240,17850,17950,1814773
20240716,17740,18270,17700,18100,2743750
20240715,17660,17890,17460,17610,1903631
20240712,17830,18060,17360,17560,3281979
20240711,18130,18290,17940,17980,2221235
20240710,18140,18420,18060,18120,1772114
20240709,18240,18390,17950,18050,3562605
20240708,19150,19150,18280,18340,4682077
20240705,19950,20250,19360,19370,3583767
20240704,20000,20450,19170,19780,3816114
