date,open,high,low,close,volume
20250116,85100,85800,85000,85400,88623
20250115,84700,85500,84200,84300,320655
20250114,84600,84700,84100,84300,253992
20250113,85600,85700,84000,84300,464331
20250110,85700,86300,85600,85800,344963
20250109,86800,87500,85500,85800,573671
20250108,85600,88300,85500,86800,447480
20250107,86700,88500,85600,85600,753370
20250106,85900,85900,84400,85400,438799
20250103,83900,85700,83900,85100,252319
20250102,83500,84400,82700,84000,257663
20241230,84000,84900,83500,83500,261914
20241227,85000,85700,83700,84500,292642
20241226,87000,87200,85300,85700,255019
20241224,87600,87700,86700,86900,151067
20241223,86400,87300,86300,86900,259210
20241220,87800,88000,85600,86200,427186
20241219,89500,90400,88000,88100,455731
20241218,87700,92300,87700,91500,795521
20241217,87400,88100,86700,86800,371618
20241216,88800,88900,87400,87800,276988
20241213,87600,88800,87600,88300,272310
20241212,86400,88200,85900,87800,634491
20241211,84300,86100,84000,85900,273017
20241210,83100,85000,82900,84300,965339
20241209,83900,84400,82300,83200,567362
20241206,86000,86600,83300,85100,455580
20241205,87400,87600,85800,86000,397776
20241204,87000,88000,86600,87300,544557
20241203,89100,89600,88200,89000,354051
20241202,90100,90200,87700,88200,556888
20241129,92000,92100,89500,89700,538059
20241128,92100,92500,91300,91900,234710
20241127,95200,95500,91700,92100,391819
20241126,93500,95200,93300,94500,224277
20241125,94200,96400,93500,94200,677582
20241122,93400,93900,92600,93300,273486
20241121,93300,93500,92200,92600,289613
20241120,90800,93600,90800,93000,420244
20241119,90100,91800,90100,90800,266403
20241118,88300,90800,88200,90100,295260
20241115,89700,89700,88100,88500,270178
20241114,88300,89700,87400,89700,392933
20241113,87100,89100,87100,87700,337930
20241112,89500,89700,87700,87900,397600
20241111,91100,91600,89600,89900,329411
20241108,92500,92500,91000,91200,231867
20241107,91000,92700,90500,91600,281873
20241106,92300,93100,91300,91400,310599
20241105,91100,92600,91000,91900,238250
20241104,91000,92300,90400,92300,282767
20241101,89800,91600,89200,90800,393593
20241031,91500,91900,89500,89500,774675
20241030,91700,92400,91500,91500,295828
20241029,92800,92900,91200,91400,473930
20241028,92600,92800,91500,92400,490122
20241025,97400,97400,91700,92100,1000018
20241024,99500,99500,96700,97200,295597
20241023,97200,100300,97200,99500,653627
20241022,97000,97400,94300,96300,469583
20241021,98300,98900,97200,97200,182074
20241018,98100,98100,97100,97300,159454
20241017,98300,98700,97300,97600,250163
20241016,97300,98000,96600,97500,449341
20241015,98700,99400,98300,98400,348089
20241014,99000,99400,98300,98700,287959
20241011,98300,100200,98300,98500,499239
20241010,98000,98400,96700,97200,675353
20241008,103900,104000,98000,98000,1185008
20241007,105800,105900,103000,103700,542298
20241004,104100,106900,103600,105900,409224
20241002,103300,105700,102600,103000,444424
20240930,107400,107700,104300,104300,406956
20240927,107700,109600,106500,106500,417394
20240926,106600,107900,106100,107900,535114
20240925,113700,113700,105500,105600,1038510
20240924,110500,113600,108800,113500,704111
20240923,110400,112400,109200,110900,462772
20240920,108500,110400,107700,110100,719401
20240919,107400,111000,107400,109500,1336983
20240913,102600,105300,102300,104400,539926
20240912,103100,103600,101100,102400,524435
20240911,103300,104500,101300,102100,328650
20240910,104300,104800,102200,102200,487322
20240909,99800,103700,99700,103400,508309
20240906,104400,104400,100800,100800,655369
20240905,102000,105500,101800,104100,947316
20240904,99500,102600,99300,100700,729415
20240903,102100,102900,101700,102000,381699
20240902,99900,102400,98200,101600,511432
20240830,100000,104500,99400,99400,1141903
20240829,98300,98500,97100,97300,327033
20240828,98900,99100,97100,98300,264327
20240827,99400,99400,98300,98600,207580
20240826,99300,99500,98300,99200,237816
20240823,97700,99000,97200,98700,267411
20240822,98200,98900,97600,98100,265019
20240821,96700,98100,96000,97600,265101
20240820,98200,98500,96900,97400,285409
20240819,97300,98500,96800,97400,483361
20240816,97300,99000,96600,96600,478530
20240814,96000,96500,94500,95600,397437
20240813,95500,96100,94500,94800,346547
20240812,94400,96200,94300,95600,297869
20240809,96500,97000,94000,94200,457079
20240808,93500,95300,92100,94100,746389
20240807,90200,95700,90000,94700,941118
20240806,91100,92900,89100,89900,1402579
20240805,97500,97500,86500,89700,1343825
20240802,101800,102300,98800,99100,730066
20240801,104400,105100,103700,103700,365094
20240731,103600,104500,102300,104000,517504
20240730,103800,105600,102600,103200,593505
20240729,107600,107700,104700,104800,764725
20240726,111000,111300,106000,107100,1259536
20240725,110800,111400,109200,110200,895154
20240724,113500,114500,111900,112500,610385
20240723,111700,114600,111700,113900,986056
20240722,112400,113000,110500,111000,497171
20240719,110600,114400,110500,111800,907720
20240718,110900,112700,110500,110900,675749
20240717,112500,115400,112100,112100,1191385
20240716,110300,112100,109100,112000,983640
20240715,109600,110800,108900,109900,472733
20240712,110300,110500,107800,109400,649908
20240711,111000,111200,109800,111000,926544
20240710,109000,110400,108300,110300,574856
20240709,108900,109900,108300,109600,628472
20240708,110700,111000,108200,108300,837625
20240705,108900,112700,108300,110800,1771133
20240704,107900,108900,105700,107900,886576
20240703,108000,108300,106000,107200,629442
20240702,109100,109500,106100,107200,840689
20240701,111000,114900,108900,109600,1149549
20240628,110100,111000,108300,110900,625642
20240627,110700,111200,108500,109200,817680
20240626,109800,111600,108000,111400,1016808
20240625,111300,112000,109000,111100,914520
20240624,108600,111700,108400,110200,1751043
20240621,107300,108800,106700,108300,964295
20240620,107200,109000,106700,108400,1257874
20240619,103500,108700,103300,108000,3453496
20240618,100900,101900,99800,101800,843389
20240617,99400,100900,98500,100400,953639
20240614,98700,99300,97900,98900,725460
20240613,101100,101100,98700,98700,1290744
20240612,99900,101200,99000,100600,1143396
20240611,101200,101200,98100,98200,1238559
20240610,100300,102300,99400,100600,973905
20240607,101100,101800,99400,100700,1269757
20240605,101900,102200,99600,100700,963661
20240604,103100,103600,100200,101100,1245682
20240603,105600,107200,102000,103100,1699404
20240531,107500,109900,104800,104800,2070778
20240530,109500,111100,106200,106300,1667504
20240529,112500,113900,109000,110500,4855132
20240528,97300,109500,97200,109300,6852467
20240527,95500,97400,94700,96400,463903
20240524,94500,94800,93800,94100,297059
20240523,96000,97300,95400,95400,317313
20240522,96700,96900,95100,95300,385832
20240521,97000,97800,96000,96500,343275
20240520,98800,98900,97300,97500,318579
20240517,99000,99100,97800,97900,297028
20240516,99200,99800,97700,98800,657185
20240514,97600,99400,97200,98300,630411
20240513,97900,98000,96400,97600,546299
20240510,94400,97800,94300,97500,1642154
