date,open,high,low,close,volume
20250116,244000,247500,243500,244000,38241
20250115,245000,247500,239500,240000,182124
20250114,243000,246000,238500,244500,272203
20250113,242500,245000,239000,241000,209303
20250110,249000,250500,245000,245000,203151
20250109,256500,256500,247000,249000,333340
20250108,253000,260000,252000,256500,264700
20250107,260500,264000,255000,255500,191554
20250106,254000,259500,251000,256500,186799
20250103,239500,259000,239000,253500,363270
20250102,250000,252000,240000,242500,207721
20241230,245000,255000,244500,250000,198781
20241227,244000,250000,242000,247000,229662
20241226,254000,254500,246500,248000,194741
20241224,256500,258500,252500,253000,115503
20241223,256000,257500,248000,256000,226183
20241220,260000,261500,254000,257500,280470
20241219,252500,260500,250500,258000,225833
20241218,257000,262500,255500,260000,325939
20241217,264500,266000,254500,257000,335413
20241216,270000,273000,265500,268000,171458
20241213,262500,273500,259000,268500,245172
20241212,265000,270000,261000,267500,423597
20241211,267500,269500,259500,262500,262560
20241210,250500,270000,250500,268000,436988
20241209,257000,259000,246000,246500,604144
20241206,264500,270000,259000,266500,293620
20241205,276000,277500,263000,265000,356114
20241204,271500,279500,268500,276000,410398
20241203,286500,289000,279500,282500,251104
20241202,287500,289000,279000,282500,207368
20241129,302500,303500,283500,284000,348760
20241128,301000,308000,300000,305000,135494
20241127,306500,310000,299500,301000,164520
20241126,303500,311000,303000,307000,187822
20241125,301000,311500,299500,306500,388539
20241122,298500,303000,297000,298000,240849
20241121,290000,297000,288000,294500,215661
20241120,286000,294000,282500,291500,239227
20241119,287000,290500,284000,288500,259699
20241118,275000,292500,275000,289500,236484
20241115,280500,282000,267500,278000,438875
20241114,288500,291500,278000,287500,432524
20241113,300000,302500,287000,289000,316441
20241112,301500,310500,301000,305500,248157
20241111,309500,313500,301000,304000,286872
20241108,302000,312500,302000,303000,234355
20241107,300000,305000,294000,304000,365149
20241106,323500,324000,299000,305500,485201
20241105,320500,325500,319500,322000,206892
20241104,320000,325500,313500,323500,254453
20241101,312000,323500,310500,318000,221329
20241031,317000,320000,313500,313500,250613
20241030,314000,325000,313000,320500,299121
20241029,332000,332500,312000,318500,726670
20241028,323000,342500,322500,339000,351780
20241025,334000,336000,321000,322500,199007
20241024,328000,336500,324500,328000,258256
20241023,317500,328500,314000,324500,216204
20241022,328000,329000,317000,318000,245722
20241021,329000,336000,327500,330500,142420
20241018,331500,334000,324000,328500,246908
20241017,338500,341000,331500,331500,230137
20241016,346000,346000,337000,339000,244835
20241015,351000,353000,337000,342000,367113
20241014,350000,351000,342500,350500,283883
20241011,357500,364000,350000,354500,268871
20241010,364500,365000,356500,356500,355580
20241008,358000,368000,354500,361000,341075
20241007,352000,363000,349500,359000,312315
20241004,354000,356500,346000,348500,262280
20241002,358000,366000,353500,353500,334645
20240930,364000,368500,356500,356500,398091
20240927,360000,368500,353500,357500,477097
20240926,352500,359000,349000,358000,310692
20240925,349500,359500,345000,348500,554936
20240924,321000,347000,321000,346000,619371
20240923,319000,320500,313500,319000,212728
20240920,323500,326000,316500,316500,338962
20240919,327500,331500,312500,319500,254625
20240913,323000,326000,315500,321500,166966
20240912,325000,325000,318500,320500,267862
20240911,307000,318500,307000,315500,258088
20240910,309500,316000,303000,306500,241348
20240909,304500,310000,301500,309500,261256
20240906,321500,323500,308500,311500,274201
20240905,327000,330500,318000,321500,243178
20240904,322500,327500,319000,324000,288314
20240903,344500,346500,331500,333000,300066
20240902,328000,347500,326500,340000,628791
20240830,326000,329500,320000,321500,300871
20240829,312000,327500,309500,320500,365891
20240828,319000,325000,313000,313500,263763
20240827,320500,329000,316000,319000,266835
20240826,315500,325000,315000,317000,306821
20240823,316000,319000,312000,315000,278249
20240822,300500,317500,299500,316000,477216
20240821,292000,306000,292000,298000,315259
20240820,292000,293500,283500,291500,186647
20240819,293500,298500,287500,289500,134205
20240816,301000,302000,292500,292500,178695
20240814,293500,297500,293000,296000,135332
20240813,289000,292000,283500,288500,149417
20240812,286000,293000,286000,290000,116247
20240809,280000,289000,278500,286000,266416
20240808,284000,288500,276500,276500,513713
20240807,282500,295500,282000,290000,234689
20240806,281000,295500,277500,289500,522030
20240805,302500,304500,263500,272500,739306
20240802,308000,314000,305500,308500,184521
20240801,305500,318500,305500,314000,234675
20240731,306000,310000,303000,305500,166216
20240730,304500,312000,303000,305000,213468
20240729,307500,310000,301000,308000,177920
20240726,312500,312500,302000,307000,269526
20240725,305500,318000,299500,313000,358228
20240724,309000,318500,309000,310000,310446
20240723,323000,324500,311500,312500,365796
20240722,332500,333000,319000,320000,276341
20240719,332500,333500,326000,333500,303750
20240718,335000,339500,332000,333500,201812
20240717,341500,344000,334000,335500,382543
20240716,358000,359000,341000,341500,471069
20240715,368000,368500,357000,359000,272945
20240712,362500,371000,362000,367500,211244
20240711,358000,371000,354500,366500,479591
20240710,361000,361500,354000,356000,225609
20240709,362500,364500,359500,362500,200811
20240708,361000,367500,358000,360500,167941
20240705,364500,365000,358000,361000,156023
20240704,364500,366000,357500,362000,178230
20240703,358000,369500,357000,360000,352143
20240702,354000,358500,351500,353000,196964
20240701,345500,357500,341000,355500,245435
20240628,344000,347000,336500,345500,221160
20240627,350000,353500,342500,344000,241552
20240626,350500,354500,348000,352000,180895
20240625,359500,360000,351000,351000,201226
20240624,355000,359000,353000,356000,163598
20240621,361000,364500,355500,355500,250301
20240620,359500,366000,358000,361500,269674
20240619,353000,362000,350500,359500,306960
20240618,358000,359000,351000,351500,208142
20240617,357000,358000,353000,355000,322322
20240614,365000,367000,356000,361000,448269
20240613,377500,377500,367000,367000,393893
20240612,371500,376000,368000,371500,234425
20240611,371000,379500,366000,375000,298873
20240610,377500,377500,370000,370500,270879
20240607,384500,388000,377000,382000,247532
20240605,362000,381000,361000,374500,395879
20240604,352500,366500,351500,361000,184831
20240603,355000,365500,354000,357500,275342
20240531,353000,361500,351500,351500,502915
20240530,365000,368000,350000,350500,634361
20240529,386000,386500,367000,370500,581535
20240528,396500,399500,388500,391000,211698
20240527,395000,399500,385000,396500,289057
20240524,386500,403500,383500,394000,317431
20240523,381000,406500,380000,394000,343337
20240522,388000,388000,382000,383000,153439
20240521,387000,388000,379000,384500,284865
20240520,398000,399500,390500,391500,321170
20240517,400000,404000,397000,398000,204095
20240516,408500,411000,403000,404000,293066
20240514,393000,407000,392500,402500,293777
20240513,396000,396000,386500,391000,277871
20240510,401000,404500,395500,397000,116254
20240509,401500,403500,396500,396500,231065
20240508,401500,403500,397000,402000,150249
20240507,406000,407500,396000,402000,252320
20240503,406000,408000,399500,403500,146460
