date,open,high,low,close,volume
20250116,261500,265000,261500,262500,64138
20250115,261000,265000,257000,257000,231931
20250114,258500,262000,255000,259500,302202
20250113,259500,261500,256000,257000,242769
20250110,259500,263500,257500,262000,315902
20250109,263000,264500,258000,261000,508533
20250108,260000,266000,258500,263500,416860
20250107,264500,267000,262000,262500,279604
20250106,260000,263500,258000,262000,255736
20250103,249000,262000,249000,259000,350244
20250102,254500,255000,248500,250000,272261
20241230,251500,259000,251500,253500,251843
20241227,253500,259500,250000,253500,353337
20241226,262500,262500,255500,256000,301681
20241224,264500,268500,261000,261000,219033
20241223,260000,264000,258500,262000,289621
20241220,262500,265500,258500,259500,384248
20241219,261500,266500,260000,263000,278879
20241218,264000,270000,264000,268500,243305
20241217,271000,271500,262000,264000,569889
20241216,274000,277000,270000,270500,421901
20241213,274500,276000,270000,271000,483308
20241212,274000,278500,268500,274500,679478
20241211,271000,273500,268500,272500,315948
20241210,256000,271000,256000,271000,570207
20241209,258500,261000,252000,253500,567811
20241206,266500,270500,257000,265500,467577
20241205,273500,274500,265000,266500,402025
20241204,270000,274000,267000,273000,544889
20241203,283000,284000,275000,275500,548888
20241202,287000,289000,279000,280500,303499
20241129,295000,295000,282000,282500,438275
20241128,299500,300000,294500,295500,241035
20241127,301000,304500,296000,297500,215642
20241126,300000,305500,300000,302500,249680
20241125,306000,309500,301500,301500,535573
20241122,306500,310500,302000,303500,223888
20241121,295000,310000,294000,304000,374902
20241120,289000,299000,287500,295000,266630
20241119,287000,292500,286500,291000,227552
20241118,277500,290500,277500,290000,428962
20241115,287500,289000,274000,277500,915970
20241114,289000,310000,279000,310000,936177
20241113,302000,306000,288000,289000,625102
20241112,310000,315000,303000,305000,411877
20241111,314000,317500,308000,311500,424816
20241108,326000,332000,319000,320000,462499
20241107,322000,332500,316500,328000,350208
20241106,341000,342500,321500,322500,436092
20241105,342000,342000,336000,339500,171552
20241104,338500,348500,335500,345000,229044
20241101,333500,342500,330500,337000,160079
20241031,336500,339000,331500,335500,288308
20241030,343000,347000,339000,340000,229872
20241029,346500,348000,338500,346500,285997
20241028,335500,350500,335500,349500,308847
20241025,341000,345500,332500,335500,182841
20241024,344500,347000,337000,339500,162175
20241023,331000,345500,330500,342000,252149
20241022,340500,342000,330000,331500,317888
20241021,345500,350500,343000,343500,167817
20241018,342500,346500,340000,345000,173610
20241017,347500,351000,342000,342500,210386
20241016,352500,353000,346000,347500,285606
20241015,364500,366000,350500,352500,417727
20241014,364500,366500,358500,364500,241979
20241011,371500,375000,366500,367000,248704
20241010,379000,379000,370000,371500,330815
20241008,375000,378000,371000,376000,267936
20241007,376000,380500,371000,379000,336249
20241004,374500,378000,369000,369000,233414
20241002,378000,381500,375000,375500,396359
20240930,391000,395500,384500,385000,391117
20240927,387500,390000,379500,386500,414432
20240926,377500,383000,374500,383000,280271
20240925,378000,381000,372500,375000,551436
20240924,382500,391000,381500,385500,533245
20240923,376500,383500,373500,379500,249000
20240920,378000,380000,374000,375000,409256
20240919,371000,376500,363000,375500,422621
20240913,360000,370000,358500,370000,534350
20240912,347500,363000,341000,358500,877850
20240911,331000,342000,331000,342000,271255
20240910,331000,336000,328000,331000,215856
20240909,323000,334500,321500,330500,245663
20240906,342500,346500,327500,330000,343578
20240905,349000,351500,338500,342500,289079
20240904,350000,352500,344000,347500,339000
20240903,363000,364500,357000,359000,214416
20240902,342000,364500,342000,360000,626896
20240830,344000,344500,337500,340000,280447
20240829,336000,345000,334500,342500,258268
20240828,344500,346000,335000,336500,259096
20240827,344000,351500,341500,346000,175331
20240826,342500,348500,341000,345000,206172
20240823,343000,348500,340000,340000,252284
20240822,333000,348000,331000,347000,423359
20240821,321500,333500,321500,330500,341539
20240820,324000,328000,321000,323000,200348
20240819,330000,332000,321000,322500,249408
20240816,337500,339000,330500,330500,223789
20240814,328500,333000,327500,332500,253089
20240813,325500,327500,321000,324500,207587
20240812,326000,330500,325500,327500,180349
20240809,324500,330000,322000,325500,265462
20240808,321000,326500,317000,319000,405637
20240807,325500,333000,325500,326000,318489
20240806,319500,338500,319500,330500,633721
20240805,351000,351000,309000,314500,856397
20240802,355500,360000,353000,356500,285311
20240801,354000,363500,351000,362500,277595
20240731,359500,361500,350000,351500,364540
20240730,359500,366500,358500,359500,280871
20240729,358000,366500,353000,363000,355548
20240726,359000,361000,351500,356500,346106
20240725,341000,361000,338000,355500,580473
20240724,352000,358000,345000,346500,447310
20240723,363000,365000,355000,355000,368787
20240722,370500,371000,360500,362000,306869
20240719,365000,371000,364000,370500,273334
20240718,364000,370000,362000,366500,310335
20240717,376000,376500,365500,365500,395513
20240716,384000,387000,372000,373000,532450
20240715,396500,397000,386000,386000,502159
20240712,388500,396500,383000,392000,795560
20240711,371000,391500,369500,391500,972715
20240710,370500,373000,368500,368500,248513
20240709,378500,379500,372500,373000,259202
20240708,376000,381500,374000,377500,313678
20240705,375000,379000,372000,377000,298202
20240704,373500,375500,369500,375000,249770
20240703,369500,377500,369000,370500,334736
20240702,370000,372500,364500,365500,245634
20240701,361500,371000,360000,370500,291832
20240628,358500,365000,355000,363000,271140
20240627,363500,365500,358500,359500,340304
20240626,365500,366000,361000,364000,349689
20240625,367500,369000,364000,366500,272745
20240624,366500,370500,365000,366000,304587
20240621,369500,373000,366500,366500,326765
20240620,372000,373500,370000,371000,216115
20240619,367500,374500,365500,373000,462848
20240618,373500,375500,368000,368000,314133
20240617,376000,376500,370500,371000,389824
20240614,375500,381500,370500,380000,515401
20240613,381000,382500,375000,375000,470089
20240612,379000,380500,375500,377000,249898
20240611,376500,385000,376500,380000,344972
20240610,383000,383500,377000,377000,350671
20240607,387000,387500,381500,386500,380682
20240605,376500,385500,374000,381000,420191
20240604,370000,378000,369500,375000,243871
20240603,370000,384000,368500,374000,377722
20240531,370500,379500,368500,369000,523294
20240530,370500,376000,367000,369500,432926
20240529,379000,381000,373000,374000,450870
20240528,389000,390500,382500,383000,253275
20240527,380500,390500,375500,388500,520982
20240524,382000,384000,380000,381500,357992
20240523,390000,392000,385000,387500,292191
20240522,394000,396000,390500,390500,227064
20240521,399000,399500,392000,393500,340790
20240520,399000,405000,398500,401000,253949
20240517,400500,402500,398000,398000,220887
20240516,406000,407500,401500,402500,237901
20240514,399500,403000,399000,401500,211204
20240513,402000,402500,396500,399000,209352
20240510,402000,404000,399000,401000,193446
20240509,403500,404000,398000,398000,303018
20240508,405000,406500,401000,403500,205380
20240507,410000,411500,404000,406500,243946
20240503,402000,407500,399000,403500,277160
20240502,404000,407500,399000,399000,245698
20240430,412000,412000,404000,405000,328307
20240429,393500,409000,392000,407000,450439
20240426,395000,395500,389500,394500,255838
20240425,392500,398500,391000,392500,298528
20240424,399500,403500,395500,396000,362468
20240423,395000,397500,389500,391500,252536
20240422,397500,398500,390500,395000,333838
20240419,386500,389500,377000,386500,489889
20240418,373000,395000,373000,390000,702664
20240417,380500,384000,371000,371000,532497
20240416,386000,389000,380500,380500,483959
20240415,387000,392000,386000,390500,392019
20240412,404500,405000,394500,395000,322166
20240411,395500,406000,393500,400000,473313
20240409,406500,411000,401000,403500,372690
20240408,390500,404500,380500,403000,940103
20240405,396000,400000,393000,394500,424303
20240404,401000,405000,393000,401500,637428
20240403,400000,404500,398500,398500,719857
20240402,414000,417000,409500,409500,521651
20240401,422000,424500,416500,418000,403197
20240329,420000,426000,417500,422000,368605
20240328,429500,430000,421000,421000,509919
20240327,429000,432000,425500,428000,338183
20240326,433500,435500,428000,429000,384054
20240325,430000,435000,429500,432000,354232
20240322,427500,436000,427500,428500,441565
20240321,430500,435000,428000,428000,505623
20240320,431000,433000,425000,426500,496417
20240319,440500,441500,423000,431500,733681
20240318,436500,439500,432000,439500,423126
20240315,439500,441500,435000,435000,566617
20240314,448000,448500,442000,442000,463835
20240313,449000,452500,444000,448000,393813
20240312,441500,451500,439000,450000,471093
20240311,444500,445500,436000,437000,392589
20240308,447000,456500,444000,444500,489844
20240307,443500,449000,439000,443000,402186
20240306,444000,449000,438500,439500,475291
20240305,453000,471000,447000,447000,923980
20240304,434000,460000,434000,458000,1057367
20240229,435500,437000,431500,431500,427024
20240228,430000,441500,430000,437500,510943
20240227,435000,438500,425500,427000,426286
20240226,435500,443000,432000,432500,401741
20240223,437000,440500,434000,435500,368549
20240222,441500,442500,435500,436500,321302
20240221,436000,442500,434000,438000,348308
20240220,443000,443000,433500,440000,445525
20240219,437500,450500,436000,444500,517344
20240216,450000,452000,441000,442000,459341
20240215,438500,444000,435000,440500,516334
20240214,429000,437000,425000,433000,605227
20240213,450000,451500,435000,438000,1113501
20240208,459000,462000,452000,453000,755443
20240207,444000,459000,444000,449500,753430
20240206,442500,443500,431500,437000,529324
20240205,450000,451500,437500,446500,557374
20240202,446500,450500,437000,449000,631354
20240201,422500,440000,417000,437000,685759
20240131,426000,437000,424500,426000,448818
20240130,430000,449500,428000,428500,1035095
20240129,417500,429500,407000,423000,811428
20240126,391500,418000,391500,412500,682506
20240125,395000,403500,387000,400000,740145
20240124,401500,408000,398000,400000,535634
20240123,398000,409500,396000,403000,713222
20240122,412000,416000,398500,398500,997443
20240119,424000,429000,408000,414500,713744
20240118,417000,432000,415000,422000,667276
20240117,434000,438500,418000,419000,783683
20240116,438000,444000,434000,437500,424725
20240115,442500,446500,439500,442000,415046
20240112,448500,453500,441500,448500,472056
20240111,451500,459000,451000,451500,466466
20240110,456500,458500,450000,450500,507557
20240109,471000,474500,460500,460500,481273
20240108,480500,481000,469500,469500,393617
20240105,471000,486500,466000,480000,570408
20240104,465000,476000,462500,469500,484710
20240103,483000,487000,472500,472500,561452
20240102,495000,496000,488000,488000,535256
20231228,495500,502000,493000,499500,560329
20231227,477500,508000,477500,492500,1346438
20231226,474500,481500,471500,473500,744558
20231222,490500,492500,480000,480500,459588
20231221,488500,499500,481500,486500,736449
20231220,499500,501000,495000,496000,417055
20231219,491500,499000,482000,496000,556757
20231218,493500,498000,485500,489500,857346
20231215,469500,485000,468500,480000,1037003
20231214,463500,468000,457000,461000,706380
20231213,460500,461000,451000,453000,556213
20231212,464000,469500,461500,468000,383666
20231211,474500,477500,467000,467000,488730
20231208,452500,473500,451500,471500,692298
20231207,454000,458500,438000,447000,758013
20231206,459000,461000,451000,451500,628444
20231205,469500,476500,460000,460500,536732
20231204,474000,479000,464000,475000,881284
20231201,483000,483000,469500,474000,524432
20231130,481000,488500,477500,483000,562014
20231129,480000,485500,474000,483000,537203
20231128,468000,478000,467500,478000,417140
20231127,473000,475000,466000,468000,328044
20231124,476500,481500,471500,472500,371597
20231123,470000,475000,467500,475000,295399
20231122,468500,475500,467500,472000,314942
20231121,474000,477000,466500,474000,418594
20231120,463500,477000,459500,472000,462658
20231117,459500,465000,453000,463500,499297
20231116,470000,475000,465500,467000,477203
20231115,494000,494000,468500,474000,787775
20231114,459000,481000,458500,471500,892775
20231113,455000,462500,450000,452000,548925
20231110,450000,455500,445000,447500,483230
20231109,460000,466000,444000,460500,798154
20231108,456500,474000,453500,456500,938184
20231107,510000,511000,452000,464500,2357481
20231106,471000,527000,462000,522000,3341452
20231103,444000,444000,428000,438000,872168
20231102,413500,427500,413000,427500,815086
20231101,412500,418500,399500,402500,883988
20231031,433000,433500,406000,411500,1155827
20231030,417500,433000,416500,433000,743725
20231027,423000,435000,415500,423000,1199624
20231026,424500,435000,419000,421500,1676774
20231025,476500,476500,443000,445500,1237237
20231024,455000,483000,441500,474000,1529774
20231023,452000,457500,442500,453000,1049913
20231020,469000,475000,448000,453000,2322796
20231019,486000,488500,477000,477000,1548134
20231018,501000,507000,499000,500000,624079
20231017,514000,518000,502000,503000,625836
20231016,502000,508000,496000,507000,837155
20231013,518000,524000,509000,512000,671304
20231012,511000,532000,507000,518000,1057678
20231011,501000,513000,498000,507000,1003202
20231010,521000,522000,490000,493000,1498746
20231006,510000,522000,507000,514000,652301
