date,open,high,low,close,volume
20250116,127000,128500,125900,126200,32141
20250115,126800,128500,124600,125100,209376
20250114,126800,128100,125200,127200,267356
20250113,124600,126500,124000,125500,275869
20250110,127500,127900,124600,124700,447558
20250109,124500,131000,122500,127500,1373828
20250108,121400,124200,121100,123800,406507
20250107,118600,123300,118600,122600,492606
20250106,119000,120100,117400,119000,182514
20250103,110800,119000,110800,119000,354105
20250102,112400,113700,110800,111000,114727
20241230,110300,114600,110300,112000,126051
20241227,111700,113700,110000,111000,138924
20241226,113600,115600,112500,112500,153062
20241224,115100,115800,112800,112800,122728
20241223,117400,117400,112600,115100,184254
20241220,115100,119500,114100,116300,245554
20241219,116500,117000,114900,115100,194424
20241218,119700,120700,117400,119000,190616
20241217,121600,122100,116900,119200,348803
20241216,120500,122100,119200,121400,290433
20241213,117100,120500,116300,120500,318501
20241212,118800,120800,116100,117700,359030
20241211,118300,119400,116600,118600,177017
20241210,110100,118800,110100,118300,368253
20241209,113200,113500,107900,109100,305943
20241206,111300,115500,111200,114200,298322
20241205,113300,114000,111200,111300,151041
20241204,115400,117400,112100,113100,291048
20241203,114900,117900,114700,117600,192774
20241202,116700,117200,112900,113500,185130
20241129,117800,118000,113700,114600,229589
20241128,117300,118800,115000,117500,211312
20241127,117800,120000,114400,115500,232787
20241126,118000,122100,118000,118900,234633
20241125,119900,122400,118500,119600,459173
20241122,120000,122000,116500,117600,367728
20241121,114100,120000,112800,118900,570143
20241120,109800,114800,107400,113200,425877
20241119,101300,112400,101300,112400,721144
20241118,95000,101900,94100,101900,336466
20241115,100000,100600,91800,96100,723668
20241114,105200,106600,101600,102700,323469
20241113,105600,107300,103800,104200,226739
20241112,107500,110000,106400,106500,209967
20241111,110300,111900,108000,108500,173377
20241108,109800,112500,109100,111100,197921
20241107,111800,112500,106800,108000,448578
20241106,119100,119200,111700,113100,386644
20241105,120000,121300,117700,118600,287434
20241104,121900,122700,118400,121100,352460
20241101,117400,124000,116300,121800,567185
20241031,119800,119800,117000,117400,172486
20241030,120300,120300,118500,118800,161519
20241029,120000,120900,118600,120400,164204
20241028,115400,121900,114600,121400,405337
20241025,117200,117200,113800,114400,146624
20241024,116100,118100,114500,115300,196386
20241023,112000,116400,112000,116200,188878
20241022,113900,114500,110600,112400,184232
20241021,112900,115700,112500,114400,197673
20241018,112400,113800,111200,112100,152052
20241017,112100,113900,111400,112100,161367
20241016,115500,116100,111100,111400,406571
20241015,119100,119800,114900,115900,366357
20241014,117500,120700,117000,119200,208900
20241011,124100,124700,117700,118500,347427
20241010,119300,125000,116000,123000,788299
20241008,117200,119400,117000,118400,212206
20241007,116200,118600,114000,118300,250708
20241004,117800,118700,114900,116200,228653
20241002,116600,119000,115900,116100,225824
20240930,120000,120900,117100,117100,251746
20240927,120700,121200,118200,118700,291803
20240926,121500,122000,119500,120600,323421
20240925,123000,123200,120800,121300,467453
20240924,115500,122500,115400,122200,1085841
20240923,111600,115200,110600,114800,350520
20240920,112700,112700,110400,111000,372695
20240919,112400,112900,110200,112700,323198
20240913,111400,111400,109700,110700,357010
20240912,111200,111400,109600,111400,351365
20240911,109800,111300,109100,110900,400198
20240910,108100,110300,107900,109700,240227
20240909,106000,108600,105900,108100,185015
20240906,107400,108800,106200,107200,274679
20240905,107400,109700,106800,107400,173115
20240904,106000,108700,105200,107000,263533
20240903,111000,111000,108000,108900,220823
20240902,109700,111300,109000,110400,476402
20240830,108400,110000,107000,110000,314106
20240829,106900,108500,105900,107900,258221
20240828,109800,109900,105800,106800,339678
20240827,107300,112000,106200,109800,1128567
20240826,105600,107800,105500,106500,234571
20240823,104900,106100,103300,105400,230527
20240822,104600,107800,103100,106200,553862
20240821,102600,104300,102000,103800,241868
20240820,101100,103900,99500,102400,231019
20240819,102300,103600,100000,100200,237770
20240816,104400,104500,102100,102300,218375
20240814,103700,103900,101200,103400,290029
20240813,101900,103100,100500,102800,159544
20240812,101700,103400,101600,102000,126037
20240809,99800,103800,98400,101000,389385
20240808,97700,99200,96000,97700,376215
20240807,99000,101300,98000,98000,313521
