date,open,high,low,close,volume
20250116,208500,210000,206500,208500,1808544
20250115,198000,201000,197700,198200,3620460
20250114,194300,197900,193600,195000,3019149
20250113,203000,203000,193900,194300,4767294
20250110,208000,212500,202500,203500,6149475
20250109,201000,206000,199800,205000,6692254
20250108,193100,198100,191000,194700,4275792
20250107,205000,206500,194800,195000,6075445
20250106,184400,199800,184400,199800,7320382
20250103,174500,182700,173100,181900,4233446
20250102,170500,172200,170000,171200,2102175
20241230,174000,175800,172400,173900,1434202
20241227,170100,176000,170000,174500,2643523
20241226,170000,172000,169400,170100,2022727
20241224,171700,171900,168300,168500,1844961
20241223,170000,173300,169600,169600,3287596
20241220,174100,174800,167100,168500,4487308
20241219,173900,176800,173000,175000,4833862
20241218,183400,183900,181600,183500,2363872
20241217,183000,184500,182100,184000,3188910
20241216,177400,180400,177300,179300,3278975
20241213,174400,176400,173500,175500,3677980
20241212,176500,177400,173500,176100,4550292
20241211,167400,171800,167000,171800,2281189
20241210,168000,170400,167600,170400,3159112
20241209,167100,170600,165000,168900,5305672
20241206,173500,173600,165000,167100,4434259
20241205,170000,175600,169300,173000,4671438
20241204,161300,168000,161100,168000,5701792
20241203,159200,165100,159100,164900,4180365
20241202,162200,162700,158600,158800,3558868
20241129,160000,162400,157600,159900,4682788
20241128,164600,166300,160800,161100,5691298
20241127,175600,175700,167900,168300,4756820
20241126,175200,177700,174700,177100,1996128
20241125,174500,179500,173900,177000,4393882
20241122,171700,178200,171200,176700,3919973
20241121,168200,173000,168200,168800,3821502
20241120,175000,175100,170200,170600,3689296
20241119,170400,172900,168100,170600,4075013
20241118,173800,177800,170300,171700,3885644
20241115,174000,179000,173600,178200,4330750
20241114,182900,184900,171700,173000,6309368
20241113,185700,189500,182600,182900,3172827
20241112,192500,192500,184900,185800,3920254
20241111,199300,199300,192400,192600,2636191
20241108,200500,203000,198800,200500,3031573
20241107,197400,198300,193100,197400,2976546
20241106,197700,199200,192700,195800,3460361
20241105,193600,198800,192100,193200,3560310
20241104,185200,194000,183700,194000,3569575
20241101,182500,184900,180500,182200,3478519
20241031,189900,192900,186100,186300,4573282
20241030,190200,195400,189400,195000,3580400
20241029,196000,197000,189100,190300,4067991
20241028,203500,205000,194200,196000,4114186
20241025,203000,206000,199400,201000,5530362
20241024,193500,202000,190000,198200,6344515
20241023,188500,196700,188000,196000,4366079
20241022,195300,195300,187500,187800,3466963
20241021,189400,192300,188000,190900,2428544
20241018,198200,198200,186200,187300,5509895
20241017,191200,196000,188700,196000,3996946
20241016,184700,192500,183600,188700,4787317
20241015,191900,193200,189700,192900,4060365
20241014,186900,192300,186900,187500,3309274
20241011,190000,191200,185100,186000,3475666
20241010,184500,188100,183400,186700,6325045
20241008,182200,185000,178000,178000,3988028
20241007,178400,184900,176000,184900,3904925
20241004,171700,175600,170700,174100,3633358
20241002,172700,175500,169100,169100,4720638
20240930,183700,183800,174600,174600,4859468
20240927,187500,189300,183800,183800,6886272
20240926,178400,180900,176200,180900,9519633
20240925,166700,169300,165000,165300,4665075
20240924,163700,163700,159200,163500,3442530
20240923,155800,162900,155700,162000,4497592
20240920,160500,160800,155900,157100,7155655
20240919,154700,155700,144700,152800,15001257
20240913,166500,166700,161100,162800,5246578
20240912,165200,171300,163800,168800,8628996
20240911,156800,158700,154300,157200,3203928
20240910,157400,161700,154300,155500,4718523
20240909,151800,157700,150500,157000,4484162
20240906,157100,158200,154900,156400,3459914
20240905,157000,163000,156600,159400,5349484
20240904,152900,159000,152900,154800,10020391
20240903,172900,173800,168300,168300,3286574
20240902,173600,174900,168400,174000,3507670
20240830,171000,175500,169400,173700,4498221
20240829,167600,171700,167200,169700,8284585
20240828,175000,180800,174000,179300,5590086
20240827,176800,180200,173400,175000,5796566
20240826,187800,188500,179600,179600,4913204
20240823,186000,189300,185400,185500,4371332
20240822,192000,194400,189000,191100,3166217
20240821,193000,195400,191100,192600,4508983
20240820,198700,202500,198100,199700,4258190
20240819,199900,199900,192400,193900,3977026
20240816,196000,200000,194700,199700,6959688
20240814,188000,188100,184700,186700,4420516
20240813,179900,182400,178800,181900,4234287
20240812,174500,179800,172600,177000,4413736
20240809,172800,172800,168800,171500,5141277
20240808,162600,168200,161200,163400,5370361
20240807,160900,171000,157400,169300,9732037
20240806,165100,166400,161500,163700,10717321
20240805,168000,171200,151600,156100,12358821
20240802,183600,184000,172400,173200,13050139
20240801,201500,201500,193300,193300,6457167
20240731,188000,195000,185200,194600,6439929
20240730,191300,192200,186500,188900,5165131
20240729,195000,195700,192200,195600,4017366
20240726,190800,194500,186100,191800,8769107
20240725,196200,198800,189000,190000,12503762
20240724,202000,212500,200000,208500,4838734
20240723,208500,209500,200500,205000,5976519
20240722,209000,209500,200500,205000,6662441
20240719,208500,214000,207000,209500,4519170
20240718,212500,215000,209000,212500,8847665
20240717,229500,230000,220500,220500,6051510
20240716,226500,235000,224000,233000,3982189
20240715,235000,235500,226500,230000,3301380
