date,open,high,low,close,volume
20250116,104500,104800,103500,104000,135583
20250115,106500,107200,102700,103300,1177799
20250114,104700,107900,104200,106700,1300498
20250113,104700,105400,103600,105400,1130422
20250110,104000,106600,103500,105600,1951844
20250109,101200,105700,101200,103300,2359171
20250108,99000,101400,98900,101000,1058728
20250107,100500,101500,99100,99100,1128286
20250106,100800,101300,99200,100500,784082
20250103,101500,101800,99200,100700,1015616
20250102,101000,102300,100500,101600,712616
20241230,100500,103100,100400,100700,704616
20241227,101100,101800,100000,100900,607220
20241226,100800,103000,99600,102900,912601
20241224,100600,101500,99500,100600,588138
20241223,101200,102700,99500,100900,778490
20241220,100100,101200,99000,101200,1253819
20241219,100000,101800,98900,100600,1674120
20241218,96500,102400,96500,101800,2225773
20241217,95400,97200,95400,95700,1015342
20241216,98100,98200,95300,95300,977937
20241213,97500,98600,96100,98100,784619
20241212,96800,98900,96800,97200,1672208
20241211,96500,97500,95400,96500,891106
20241210,93000,96000,93000,95800,1426079
20241209,93200,94400,92000,92000,1163885
20241206,94100,96200,93200,94800,974415
20241205,97200,98400,93800,94000,1047065
20241204,96700,99700,96300,98100,1718985
20241203,95900,98000,95000,98000,1269834
20241202,93900,95800,93500,94200,856300
20241129,93200,94500,92100,92900,1137504
20241128,94400,95800,93900,95000,667018
20241127,95600,97200,94000,94300,1316143
20241126,96500,97500,95700,97300,824826
20241125,97600,98300,96300,97200,1490846
20241122,98500,98800,97100,97800,625998
20241121,98100,98900,96800,97600,877875
20241120,95300,99200,95000,98100,1315123
20241119,95800,97200,95000,95300,791662
20241118,91100,96800,91100,96700,1258964
20241115,90500,92400,89500,91600,1000774
20241114,91600,93900,90400,92500,1308730
20241113,91500,91800,89600,90800,930142
20241112,94700,95100,91900,91900,1029314
20241111,92100,95200,92100,94600,952667
20241108,94200,95300,92500,93000,954617
20241107,94000,95100,92600,94000,1538830
20241106,96400,96800,93800,95000,1201388
20241105,96800,97200,96100,97000,853795
20241104,95000,97500,94400,97400,1455797
20241101,91000,95200,90600,94300,1273159
20241031,93500,94500,91900,91900,1497645
20241030,93000,94400,92100,94100,1288804
20241029,95000,95800,93000,93700,1032980
20241028,93700,96800,93500,95500,1990596
20241025,90100,93500,89900,92700,2070730
20241024,90000,92200,90000,90900,2432361
20241023,92000,93800,91100,93000,2096814
20241022,93600,94100,91800,92500,2094323
20241021,95300,96400,94400,95000,887808
20241018,94000,96700,94000,95100,954041
20241017,98100,98400,93700,95200,2337274
20241016,98800,99400,97500,97800,1442581
20241015,100800,100800,99200,99700,742330
