date,open,high,low,close,volume
20250116,21000,21100,20700,20900,2487326
20250115,20200,20600,19900,20300,5122024
20250114,19940,20200,19830,20100,3913984
20250113,20300,20550,19820,20100,7574561
20250110,19770,20550,19300,20000,21673672
20250109,19060,19060,18350,18830,4165547
20250108,18690,18900,18370,18900,3834048
20250107,18900,19080,18740,18980,4591740
20250106,18500,18740,18190,18630,5055167
20250103,18220,18370,17960,18200,4544088
20250102,17600,18240,17600,18060,3032474
20241230,17600,17840,17500,17550,2594742
20241227,18130,18180,17430,17620,4586870
20241226,18470,18520,17860,17860,3625772
20241224,18160,18690,18160,18280,4603391
20241223,17830,18330,17770,18160,4139796
20241220,18530,18550,17570,17570,7472877
20241219,17700,18060,17470,17850,4646486
20241218,17590,18270,17490,18060,5186115
20241217,17840,17850,17420,17490,4083393
20241216,17350,17910,17350,17640,5640808
20241213,17830,17880,17220,17240,6652260
20241212,17390,18190,17310,17830,10237930
20241211,17390,17520,16970,17230,6769658
20241210,17500,17900,16910,17180,13229410
20241209,17790,17850,17200,17380,7621883
20241206,18550,18900,17640,18080,10277179
20241205,19180,19390,18480,18690,8487418
20241204,20600,20900,18580,19000,25531530
20241203,20850,21350,20750,21150,3594136
20241202,21200,21350,20700,20700,3268088
20241129,21300,21350,20300,21150,7293479
20241128,21250,21800,21150,21450,3953289
20241127,21050,21400,21000,21100,4066364
20241126,22000,22000,21000,21050,7907491
20241125,22350,22500,22000,22150,7335876
20241122,21300,22750,21250,22100,15909665
20241121,21650,21900,20850,20900,5994908
20241120,22350,22400,21600,21700,5971125
20241119,21950,22800,21750,22400,12909089
20241118,21550,22150,21300,21550,7772892
20241115,22400,22500,21250,21850,10709767
20241114,21200,22450,20950,22450,17292496
20241113,21000,21650,20550,20750,7911988
20241112,20700,21400,20600,20850,5632665
20241111,21300,21900,20900,20900,6806611
20241108,21400,21700,21100,21450,4591326
20241107,21200,21700,20500,21400,9313005
20241106,20450,21150,20450,20900,7885107
20241105,19930,20550,19790,20400,4022063
20241104,20050,20150,19350,20000,4911648
20241101,20600,20750,19850,19980,5749622
20241031,20150,20800,19700,20050,14011947
20241030,21850,22000,21250,21400,6459985
20241029,21800,22150,21500,21850,12069996
20241028,20800,21700,20750,21400,11033510
20241025,20850,21300,20550,20600,4764600
20241024,19850,21000,19840,20850,8918248
20241023,20650,20800,19960,20100,6418161
20241022,20300,21300,20000,20650,13625006
20241021,21350,21400,20300,20650,12710750
20241018,20900,21300,20100,20450,10127307
20241017,21100,21500,20550,21150,34706921
20241016,18820,19950,18550,19460,10748471
20241015,18650,19350,18650,19000,9302369
20241014,18200,18500,18150,18470,2294944
20241011,18290,18460,18060,18100,1659316
20241010,18400,18470,18130,18200,2389396
20241008,18130,18760,18110,18370,4087833
20241007,17490,18270,17280,18270,3744724
20241004,17470,17580,17140,17410,2178359
20241002,17710,17710,17250,17310,2532931
20240930,18170,18310,17850,17910,2322831
20240927,18470,18520,18050,18050,2136062
20240926,18110,18480,17980,18450,2525949
