date,open,high,low,close,volume
20250116,235500,239500,234500,237000,95887
20250115,237000,238500,231000,231500,277008
20250114,232500,238500,230500,236500,354213
20250113,232500,235000,229500,229500,367466
20250110,239000,240000,232500,234000,404954
20250109,249500,250500,237500,239000,707039
20250108,244500,252000,242500,249500,501773
20250107,249000,254500,246000,246500,358935
20250106,247000,251000,243500,249000,288347
20250103,235000,249000,232000,247000,444831
20250102,247500,250000,238000,239500,322723
20241230,247000,254000,247000,247500,195241
20241227,245500,250000,242500,248000,213784
20241226,256000,256500,247000,247000,212529
20241224,256500,261000,254500,255000,202305
20241223,251000,258000,243500,256000,306213
20241220,258500,258500,248000,248000,460637
20241219,250500,257500,248500,254000,291544
20241218,250000,259500,248000,258000,395544
20241217,261000,262000,245000,247000,634840
20241216,264500,268000,261000,263000,255208
20241213,257000,263000,253000,260500,407922
20241212,251000,258500,247000,255000,487555
20241211,251500,255500,246000,248500,261075
20241210,242000,254000,242000,252500,283648
20241209,246000,248500,238500,239500,385207
20241206,251000,258000,244500,251500,357397
20241205,259000,259500,251000,251500,305249
20241204,253000,260500,252500,259000,464473
20241203,264000,268000,259000,261000,412398
20241202,259000,264000,256500,259000,263742
20241129,269500,270000,254500,254500,528933
20241128,266000,272000,264500,272000,276948
20241127,278500,280000,266500,268000,307222
20241126,279000,284000,274000,278500,329790
20241125,272500,282000,272000,277500,542729
20241122,267000,275000,265500,269000,337953
20241121,259500,267000,257000,264500,310598
20241120,257500,264000,256000,259500,358506
20241119,260000,262000,252500,259000,388753
20241118,247000,262500,246500,262500,522947
20241115,250000,253500,235500,246500,1275347
20241114,262000,270500,261500,264500,762642
20241113,261000,265500,255000,255500,561453
20241112,274000,276000,263500,264500,755539
20241111,285500,287500,273500,274500,661555
20241108,290000,293500,284000,284500,730613
20241107,296000,298000,286000,288000,963012
20241106,321000,322500,298000,298500,915616
20241105,332500,333000,316000,317500,858257
20241104,335500,338000,328000,337500,338677
20241101,325500,337500,323500,331500,201852
20241031,334500,341000,327000,327000,378994
20241030,339500,347000,335500,339000,261901
20241029,344000,351000,336500,344000,282432
20241028,322500,348500,322500,348500,448604
20241025,333500,335000,321000,322000,217621
20241024,335500,339000,326000,327500,249042
20241023,324000,334000,322500,331000,224501
20241022,334000,336000,323500,324000,214937
20241021,331000,341500,331000,334500,164920
20241018,334500,336500,327000,330000,243151
20241017,340500,344500,334000,334000,294098
20241016,353000,353500,340000,340000,400446
20241015,362000,364000,347500,351000,444739
20241014,365500,367000,358000,359000,318814
20241011,373000,386000,369000,373000,422704
20241010,374000,375000,369000,369500,274438
20241008,364000,375000,361000,371000,298267
20241007,365000,369500,358000,367500,362434
20241004,367000,369500,361000,361500,345852
20241002,372000,379000,370500,371500,279245
20240930,389000,393500,378500,378500,323768
20240927,388000,391000,381500,384000,235806
20240926,382000,387500,373000,387500,374940
20240925,389000,391000,381000,381500,356083
20240924,380500,393000,380000,387500,487932
20240923,377500,381000,372000,379000,274345
20240920,376000,382500,371500,376500,453676
20240919,374000,378000,366000,372000,368651
20240913,365000,371000,360500,365000,273600
20240912,368000,371000,359000,364000,449547
20240911,333000,367500,332500,366000,702797
20240910,346000,348000,332000,333000,331169
20240909,337500,347000,333000,344000,252703
20240906,367500,370500,341000,343000,587735
20240905,363500,372500,357000,365500,390367
20240904,356500,366500,355500,358000,444422
20240903,373500,380000,366000,371000,504052
20240902,359000,373000,358500,369000,697416
20240830,360500,361000,352000,354000,382399
20240829,339000,362500,338000,358500,759750
20240828,343500,350500,337000,339500,562530
20240827,332500,346000,328500,338000,417485
20240826,334000,338500,329000,332000,295574
20240823,331500,335500,327000,330500,194293
20240822,326500,338000,326500,335500,434679
20240821,309000,336000,308500,328500,744340
20240820,312500,313500,305500,311000,402441
20240819,319500,319500,309000,309000,378524
20240816,329500,331500,320000,320500,374911
20240814,322000,325500,319000,323500,254144
20240813,316500,325000,311500,315500,274332
20240812,311000,322500,311000,319500,276860
20240809,308000,315500,304500,310000,352311
20240808,309500,313500,303000,303000,357536
20240807,312000,324500,312000,316000,260387
20240806,308500,322500,308500,318500,406677
20240805,331500,332500,294500,304000,588001
20240802,326000,341000,325500,336500,428561
20240801,320000,337500,318500,334000,457374
20240731,330000,331500,312000,319500,808998
20240730,333000,344500,330500,330500,423808
20240729,337500,341000,331500,335500,279493
20240726,341500,346500,337000,339000,179285
20240725,328500,348000,328500,343500,400368
20240724,331500,340500,330000,333500,231832
20240723,344500,346000,334000,335500,390417
20240722,356000,357000,342000,342500,398483
20240719,354500,358500,352000,357500,267075
20240718,351000,359000,350500,355000,290914
20240717,357000,361500,356000,356000,371761
20240716,376000,377000,359500,360000,582218
20240715,380000,383000,375000,377500,227369
20240712,386000,389500,378000,380000,436667
20240711,375500,389500,369000,389500,625762
20240710,377500,381000,370500,373000,345711
20240709,385000,387500,382000,382500,271592
20240708,382000,386000,374000,381500,293821
20240705,387500,390000,378500,382000,536501
20240704,371500,376000,368500,374500,464023
20240703,357000,368000,353500,366500,636916
20240702,365000,369500,351500,351500,516425
20240701,352500,368500,352000,367000,455716
20240628,359000,362500,351000,354000,545864
20240627,372500,374000,361000,361000,448702
20240626,372000,379000,369000,369000,310007
20240625,378000,381500,368000,368500,395918
20240624,384500,385000,377500,377500,296362
20240621,391000,400000,389000,389000,326437
20240620,390000,395000,388500,392000,215377
20240619,378000,395500,376000,392500,337842
20240618,383500,386500,375000,375000,258029
20240617,380500,384500,377000,381000,225594
20240614,391500,392500,383000,383500,322311
20240613,400000,402000,391500,391500,390293
20240612,391000,401000,391000,393500,191642
20240611,393000,401500,388500,392500,336622
20240610,395500,401500,387000,393000,327819
20240607,396500,402000,393500,399000,305543
20240605,380500,399500,379000,391500,429783
20240604,375000,384000,374000,378000,220476
20240603,375000,385000,375000,377000,255766
20240531,382500,386500,374500,374500,470697
20240530,381000,388500,379000,379000,298981
20240529,400000,403000,385000,385000,590144
20240528,414500,414500,403500,404500,199641
20240527,401000,416000,393500,415000,288086
20240524,401000,404000,398000,401000,199162
20240523,406000,414500,404000,405500,261313
20240522,416000,418500,408500,408500,205086
20240521,421000,421500,410000,411500,262133
20240520,429500,431500,423500,424000,183645
20240517,439500,444000,429500,431000,178628
20240516,441500,444000,437000,441500,216078
20240514,435500,443500,430500,438500,185778
20240513,429000,435000,422000,433000,195554
20240510,433500,435500,427000,429000,144928
20240509,434000,436000,426000,430500,242808
20240508,435500,441000,432000,437000,156159
20240507,444500,446000,431500,435000,265531
20240503,443000,445000,436000,438000,196672
20240502,438000,452500,437500,443500,467701
20240430,426000,439500,418500,434000,482425
20240429,412000,421000,411000,421000,233608
20240426,414500,416500,406000,408500,239111
20240425,414000,425000,413500,413500,252901
20240424,422000,428500,417000,422000,337918
20240423,417000,422500,407000,407000,294568
20240422,409000,421500,403500,421500,342272
20240419,400000,411500,395000,401000,335045
20240418,390000,408000,390000,405500,322387
20240417,388500,399500,386000,386000,267059
20240416,387000,391000,384500,386500,245249
20240415,396500,401000,392500,394000,274388
20240412,410000,411000,401000,401000,269656
20240411,403000,415500,401000,407500,316145
20240409,425000,426500,411000,411000,313504
20240408,415500,428500,407000,420000,461096
20240405,433500,434500,420000,420500,429686
20240404,434000,448000,432000,442000,449367
20240403,441500,445000,428000,428000,601115
20240402,453000,463500,452500,453000,369009
20240401,469000,470000,453500,454000,455659
20240329,477500,478000,460000,471000,586778
20240328,487000,488000,475500,477500,485116
20240327,477000,491500,476500,480500,577141
20240326,488500,493500,471500,473000,822461
20240325,478000,494500,475000,486000,840495
20240322,454500,475000,453500,472500,779394
20240321,456000,465000,454000,455500,537490
20240320,450500,471500,445500,453000,910857
20240319,451500,454500,438500,451000,655915
20240318,425000,448000,424500,444000,569305
20240315,437000,438000,422000,425000,785190
20240314,454500,465000,441500,446000,799779
20240313,453500,468500,447000,459500,1060664
20240312,421500,461000,421500,459500,1470069
20240311,421000,424500,411000,413500,533937
20240308,420500,442500,418000,426000,1764503
20240307,369000,417000,368000,412000,1771829
20240306,365000,369000,363000,364500,220362
20240305,371000,371500,366000,366500,296735
20240304,377500,383000,373500,374500,302231
20240229,381000,382500,376000,377000,246129
20240228,384500,393000,381500,381500,191287
20240227,391000,393500,381000,381000,260974
20240226,388000,394000,386000,391000,183001
20240223,396000,397000,388000,388500,239275
20240222,402000,402000,395000,395000,204188
20240221,393000,401000,391000,400000,178105
20240220,394000,396000,386000,395000,231525
20240219,400000,404500,394000,394500,346748
20240216,394000,408500,394000,404500,521244
20240215,393000,393000,385500,386000,258465
20240214,385000,390000,380000,386500,205747
20240213,391000,393000,386000,391000,253552
20240208,393000,394500,385000,385000,368228
20240207,378000,395000,378000,382000,454296
20240206,382500,385000,374000,374000,348821
20240205,396000,399000,387000,387000,327198
20240202,377000,395000,376500,393000,380372
20240201,369000,379500,366000,377500,305271
20240131,371000,385000,368500,372500,352675
20240130,383500,390000,373500,374500,524836
20240129,363500,384000,360500,379000,557298
20240126,342500,366000,342000,360500,597180
20240125,351000,353500,345000,347500,436330
20240124,358500,361500,350000,354000,519692
20240123,354000,362500,354000,358500,533096
20240122,374000,376000,358000,358000,571765
20240119,380000,384500,373500,374000,329271
20240118,372000,388500,367500,376500,477618
20240117,395000,397500,379000,379000,511751
20240116,398500,405500,395000,395000,312693
20240115,400000,404000,396500,400000,337909
20240112,417000,418500,405500,408000,369362
20240111,415500,421500,415500,416500,331233
20240110,430000,431500,416000,416500,562351
20240109,442000,442000,432000,432000,210683
20240108,445000,446000,435500,436000,213935
20240105,445500,449000,442000,445000,172950
20240104,444500,448500,440000,445000,201870
20240103,462000,462000,446500,446500,350254
20240102,469000,469500,463000,467000,195216
20231228,463500,472000,458000,472000,301048
20231227,451000,459000,450000,455500,173135
20231226,454000,456500,446500,447000,141182
20231222,454000,457000,450500,450500,166640
20231221,455000,456500,449500,451000,243286
20231220,453500,463000,453000,462000,308987
20231219,451000,452500,446500,450500,213617
20231218,457500,459000,450000,451500,214655
20231215,459500,467000,449000,452500,478586
20231214,436500,450500,431000,448500,484805
20231213,442000,443000,429000,429500,311146
20231212,446500,449500,443000,445500,234611
20231211,451000,457000,440500,446000,305967
20231208,448000,457000,444500,450000,220251
20231207,439000,447000,435500,443500,268573
20231206,445000,445000,432500,433500,350012
20231205,439500,447000,436500,444000,193240
20231204,451000,456000,433500,439500,471966
20231201,467500,467500,447000,447000,436363
20231130,471000,473500,463500,472000,383120
20231129,460500,474500,454000,471500,245968
20231128,456500,459500,452500,455000,219732
20231127,465000,466500,453000,453500,206628
20231124,476000,479500,463000,463000,250887
20231123,471500,481000,467000,475000,191498
20231122,462500,474500,462500,471500,214222
20231121,470000,474000,461000,466000,305803
20231120,446000,465000,446000,460500,237729
20231117,450000,452500,443000,444000,216245
20231116,448500,461000,444500,455000,243428
20231115,450000,452000,444000,448500,385615
20231114,426500,441500,425500,435000,373809
20231113,424000,430000,417000,417000,277544
20231110,427000,429500,418000,420000,387751
20231109,450000,454000,436500,439500,354047
20231108,470500,474500,450000,450000,380310
20231107,495000,495500,458000,466000,642838
20231106,478000,522000,465500,506000,979940
20231103,458000,465000,450500,454000,323288
20231102,436500,454000,434500,451000,445802
20231101,430000,443500,422500,425500,389358
20231031,447000,447500,423500,425500,458098
20231030,439000,459500,439000,452000,490326
20231027,425500,454000,425000,452000,558062
20231026,417500,435000,417500,423000,789835
20231025,479000,479500,443000,445500,588982
20231024,477000,481000,460000,480000,359957
20231023,472000,483000,462500,474000,371565
20231020,482500,486000,476500,480000,272354
20231019,499000,502000,488500,494000,312509
20231018,522000,526000,512000,512000,142190
20231017,525000,539000,524000,524000,170188
20231016,522000,528000,507000,514000,146018
20231013,532000,536000,525000,526000,165552
20231012,514000,539000,514000,535000,334093
20231011,498000,514000,497500,511000,334945
20231010,481500,505000,481500,490000,279139
20231006,484000,491500,480500,481000,228092
20231005,495000,502000,485500,489000,321504
20231004,483500,494500,477500,484500,651037
20230927,512000,519000,502000,512000,308361
20230926,516000,527000,515000,522000,197748
20230925,526000,537000,519000,521000,253968
20230922,528000,541000,527000,533000,266207
20230921,553000,557000,538000,538000,263903
20230920,552000,566000,552000,563000,178160
20230919,566000,571000,558000,558000,169638
20230918,572000,582000,567000,567000,213637
20230915,584000,589000,580000,581000,272850
20230914,563000,584000,558000,584000,309653
20230913,553000,562000,552000,558000,175344
20230912,574000,576000,557000,558000,361888
20230911,592000,596000,572000,573000,225226
20230908,596000,598000,581000,589000,171037
20230907,595000,600000,588000,595000,216249
20230906,610000,615000,602000,603000,140298
20230905,611000,620000,606000,616000,147533
20230904,593000,610000,592000,610000,125600
20230901,615000,615000,595000,596000,156207
20230831,608000,615000,604000,614000,220252
20230830,599000,611000,598000,606000,135863
20230829,600000,604000,594000,596000,101510
20230828,600000,604000,595000,599000,82216
20230825,585000,600000,583000,595000,115672
20230824,588000,602000,588000,594000,189468
20230823,592000,598000,584000,586000,187308
20230822,597000,605000,593000,598000,138952
20230821,595000,600000,590000,590000,123795
20230818,602000,604000,595000,597000,139460
20230817,596000,611000,594000,608000,189571
20230816,600000,616000,600000,601000,188255
20230814,625000,626000,610000,610000,217209
20230811,626000,645000,625000,633000,205353
20230810,627000,627000,619000,622000,144517
20230809,614000,637000,610000,634000,202298
20230808,620000,627000,614000,614000,216777
20230807,630000,631000,617000,617000,275197
20230804,640000,643000,634000,635000,140213
20230803,648000,653000,637000,639000,239993
20230802,670000,671000,650000,650000,278182
20230801,664000,676000,664000,670000,316546
20230731,664000,679000,658000,665000,396958
20230728,667000,671000,658000,663000,311265
20230727,700000,701000,660000,662000,560783
20230726,711000,735000,698000,703000,630733
20230725,727000,727000,698000,712000,284582
20230724,684000,715000,680000,712000,404793
20230721,678000,687000,676000,686000,163870
20230720,685000,695000,683000,685000,213207
20230719,699000,701000,682000,695000,299355
20230718,702000,704000,687000,699000,275226
20230717,703000,708000,693000,695000,198023
20230714,721000,724000,708000,716000,185435
20230713,695000,720000,694000,715000,281166
20230712,691000,699000,685000,689000,103061
20230711,689000,696000,685000,686000,112989
20230710,698000,700000,682000,685000,167259
20230707,700000,705000,694000,697000,134175
20230706,711000,711000,693000,703000,178044
20230705,715000,715000,704000,708000,130151
20230704,722000,722000,708000,711000,243325
20230703,680000,717000,677000,717000,341742
20230630,666000,676000,653000,669000,253831
20230629,657000,679000,656000,665000,225876
20230628,684000,684000,657000,657000,268136
20230627,676000,683000,674000,678000,162584
20230626,677000,687000,674000,683000,139271
20230623,694000,698000,681000,683000,186774
20230622,687000,699000,687000,695000,154204
20230621,704000,716000,694000,695000,187104
20230620,704000,706000,691000,702000,229017
20230619,726000,729000,713000,715000,165447
20230616,729000,734000,722000,727000,178267
20230615,727000,735000,719000,727000,175549
20230614,740000,744000,725000,731000,198157
20230613,740000,745000,735000,742000,146848
20230612,742000,745000,734000,740000,136383
20230609,729000,735000,726000,735000,150901
20230608,736000,736000,717000,729000,197396
20230607,722000,740000,719000,735000,228145
20230605,722000,722000,710000,717000,77553
20230602,708000,718000,706000,715000,155491
20230601,718000,721000,706000,708000,134626
20230531,712000,723000,712000,718000,280762
20230530,698000,724000,698000,718000,208259
20230526,697000,703000,693000,693000,124561
20230525,704000,711000,700000,700000,179880
20230524,700000,714000,700000,714000,140941
20230523,703000,714000,699000,710000,175511
20230522,701000,706000,692000,700000,152734
20230519,692000,698000,683000,698000,228854
20230518,694000,695000,686000,692000,141399
20230517,670000,692000,668000,691000,178280
20230516,678000,685000,670000,671000,136572
20230515,666000,675000,655000,674000,189664
20230512,664000,672000,663000,665000,146189
20230511,673000,676000,667000,670000,178109
20230510,676000,687000,670000,672000,142401
20230509,686000,689000,667000,680000,200372
20230508,685000,691000,678000,684000,206578
20230504,681000,692000,675000,684000,174917
20230503,698000,698000,680000,684000,223955
20230502,695000,703000,691000,700000,220723
20230428,711000,711000,682000,691000,545959
20230427,703000,710000,696000,706000,263169
20230426,707000,721000,701000,703000,220437
20230425,735000,737000,698000,706000,258603
20230424,734000,740000,721000,726000,161151
20230421,746000,756000,729000,734000,206651
20230420,753000,765000,746000,749000,182001
20230419,766000,766000,752000,758000,221589
20230418,755000,774000,746000,766000,291568
20230417,757000,760000,749000,755000,214568
20230414,773000,775000,750000,762000,236270
20230413,753000,769000,744000,769000,278712
20230412,776000,779000,751000,764000,290987
20230411,756000,776000,746000,767000,441472
20230410,738000,756000,735000,749000,352685
20230407,742000,747000,731000,738000,259085
20230406,764000,766000,741000,745000,402833
20230405,730000,787000,727000,778000,470031
20230404,740000,750000,724000,726000,208636
20230403,750000,750000,730000,745000,222650
20230331,722000,735000,714000,735000,248260
20230330,736000,736000,721000,721000,205051
20230329,716000,735000,716000,735000,266278
20230328,720000,725000,710000,722000,171326
20230327,726000,738000,721000,723000,253432
20230324,741000,741000,712000,719000,266419
20230323,721000,751000,721000,746000,294624
20230322,725000,735000,720000,732000,241511
20230321,725000,732000,708000,717000,217229
20230320,709000,724000,707000,715000,178753
20230317,745000,747000,705000,721000,344508
20230316,724000,739000,716000,739000,214875
20230315,728000,748000,726000,734000,237535
20230314,728000,733000,711000,725000,291764
20230313,738000,745000,722000,738000,212946
20230310,722000,741000,721000,737000,233482
20230309,756000,757000,730000,732000,406161
20230308,786000,786000,754000,754000,467520
20230307,779000,801000,768000,793000,599331
20230306,748000,781000,743000,781000,754225
20230303,711000,740000,705000,731000,327824
20230302,693000,713000,693000,710000,312760
20230228,683000,703000,681000,696000,272721
20230227,669000,679000,667000,678000,167158
