date,open,high,low,close,volume
20250116,1027000,1044000,1027000,1042000,18360
20250115,1036000,1046000,1020000,1020000,71505
20250114,1049000,1062000,1018000,1024000,97967
20250113,1006000,1044000,1005000,1012000,72362
20250110,1001000,1020000,999000,1000000,42326
20250109,1000000,1014000,992000,1006000,49799
20250108,991000,1011000,989000,1008000,107152
20250107,951000,1005000,950000,983000,151667
20250106,940000,948000,932000,946000,44832
20250103,934000,951000,932000,940000,44072
20250102,950000,952000,924000,934000,54913
20241230,935000,969000,932000,949000,52104
20241227,933000,940000,920000,934000,35257
20241226,938000,952000,933000,937000,37570
20241224,953000,958000,930000,938000,40596
20241223,946000,956000,940000,949000,33263
20241220,947000,948000,908000,939000,100460
20241219,965000,980000,955000,958000,71356
20241218,978000,986000,966000,980000,40807
20241217,997000,999000,973000,974000,60499
20241216,997000,1000000,979000,999000,65335
20241213,959000,995000,950000,986000,76812
20241212,955000,980000,944000,958000,120889
20241211,955000,965000,946000,949000,68819
20241210,962000,966000,946000,959000,86078
20241209,942000,975000,941000,953000,118678
20241206,970000,984000,956000,962000,79185
20241205,964000,981000,963000,964000,47093
20241204,953000,971000,941000,961000,90430
20241203,983000,991000,964000,967000,85347
20241202,988000,995000,965000,971000,50880
20241129,1002000,1007000,973000,975000,83244
20241128,958000,1000000,947000,1000000,121183
20241127,931000,956000,929000,953000,83471
20241126,949000,955000,921000,929000,89808
20241125,941000,960000,933000,958000,111598
20241122,939000,939000,926000,934000,79868
20241121,944000,963000,932000,932000,130862
20241120,942000,953000,915000,938000,94198
20241119,917000,937000,917000,919000,74830
20241118,915000,932000,907000,916000,88698
20241115,956000,964000,929000,937000,281564
20241114,951000,972000,943000,957000,77243
20241113,978000,987000,947000,950000,90569
20241112,1001000,1011000,981000,987000,82207
20241111,999000,1018000,986000,1007000,85138
20241108,1003000,1014000,998000,1004000,65322
20241107,1016000,1030000,969000,995000,126818
20241106,1013000,1040000,998000,1026000,103863
20241105,1015000,1033000,1005000,1008000,63047
20241104,1000000,1017000,987000,1017000,81421
20241101,995000,1011000,995000,998000,42741
20241031,1030000,1030000,1000000,1002000,90508
20241030,1036000,1046000,1019000,1031000,64899
20241029,1057000,1079000,1041000,1047000,53287
20241028,1067000,1078000,1047000,1058000,60587
20241025,1038000,1082000,1021000,1061000,85114
20241024,1063000,1066000,1021000,1041000,105621
20241023,1070000,1095000,1054000,1059000,101156
20241022,1085000,1113000,1055000,1059000,143151
20241021,1070000,1104000,1065000,1091000,135864
20241018,1033000,1072000,1025000,1060000,81537
20241017,1058000,1063000,1018000,1026000,85632
20241016,1071000,1082000,1056000,1057000,73438
20241015,1035000,1096000,1030000,1082000,133451
20241014,1024000,1037000,1017000,1036000,71648
20241011,1011000,1033000,992000,1024000,97065
20241010,1009000,1033000,995000,995000,88971
20241008,994000,1009000,992000,1004000,53272
20241007,1006000,1007000,990000,1001000,68579
20241004,988000,1016000,979000,999000,138681
20241002,973000,985000,958000,977000,94400
20240930,984000,1003000,973000,977000,128574
20240927,1047000,1048000,986000,986000,215610
20240926,1047000,1055000,1030000,1052000,90567
20240925,1098000,1109000,1036000,1047000,144011
20240924,1085000,1091000,1061000,1082000,105027
20240923,1058000,1096000,1051000,1087000,158056
20240920,1047000,1063000,1037000,1060000,152366
20240919,1013000,1050000,1006000,1049000,222731
20240913,980000,996000,970000,990000,71202
20240912,987000,987000,967000,971000,94425
20240911,1002000,1014000,970000,981000,112791
20240910,973000,1010000,969000,996000,173992
20240909,952000,973000,950000,965000,54630
20240906,935000,973000,929000,965000,123527
20240905,948000,954000,922000,935000,92973
20240904,940000,952000,934000,946000,81547
20240903,966000,979000,959000,961000,48087
20240902,990000,991000,955000,965000,54568
20240830,956000,988000,956000,980000,87602
20240829,991000,995000,954000,956000,106423
20240828,979000,1004000,974000,991000,171180
20240827,967000,1005000,967000,973000,238431
20240826,964000,964000,948000,962000,43653
20240823,955000,964000,948000,957000,51741
20240822,946000,965000,936000,955000,121834
20240821,913000,948000,913000,948000,150458
20240820,931000,934000,902000,907000,122594
20240819,933000,954000,922000,930000,106682
20240816,940000,943000,925000,931000,96605
20240814,941000,941000,912000,932000,117666
20240813,944000,949000,925000,939000,87052
20240812,962000,974000,944000,950000,82141
20240809,981000,986000,955000,960000,101827
20240808,960000,977000,945000,974000,134857
20240807,927000,979000,925000,960000,280891
20240806,923000,939000,901000,928000,191447
20240805,898000,924000,853000,890000,251507
20240802,912000,927000,903000,911000,101110
20240801,928000,928000,901000,925000,144939
20240731,945000,955000,925000,938000,108408
20240730,940000,960000,928000,937000,144798
20240729,919000,950000,915000,940000,145349
20240726,873000,929000,872000,915000,249017
20240725,880000,890000,858000,871000,190763
20240724,845000,890000,836000,883000,271622
20240723,852000,865000,845000,848000,73358
20240722,833000,857000,826000,848000,123049
20240719,842000,844000,821000,835000,69248
20240718,850000,856000,842000,850000,94995
20240717,818000,859000,818000,851000,175009
20240716,825000,827000,816000,824000,51060
20240715,830000,832000,816000,819000,62533
20240712,815000,825000,813000,823000,86531
20240711,814000,823000,805000,815000,82472
20240710,796000,815000,792000,807000,81410
20240709,796000,808000,791000,796000,54942
20240708,806000,808000,784000,792000,80840
20240705,808000,808000,798000,803000,63043
20240704,810000,810000,795000,803000,72898
20240703,805000,818000,792000,810000,156413
20240702,756000,815000,753000,810000,310729
20240701,727000,769000,725000,759000,146791
20240628,732000,734000,724000,727000,76001
20240627,725000,733000,722000,732000,49191
20240626,738000,739000,728000,729000,64022
20240625,740000,740000,732000,738000,42342
20240624,747000,748000,734000,734000,45936
20240621,747000,751000,738000,750000,61956
20240620,753000,756000,747000,747000,33185
20240619,746000,756000,742000,755000,55640
20240618,739000,744000,733000,740000,46315
20240617,735000,737000,730000,736000,37449
20240614,736000,739000,733000,737000,51252
20240613,743000,755000,736000,736000,95600
20240612,741000,750000,736000,742000,59766
20240611,740000,755000,739000,740000,48332
20240610,742000,742000,733000,736000,68070
20240607,762000,769000,747000,750000,57654
20240605,757000,774000,751000,760000,64528
20240604,746000,757000,746000,753000,33080
20240603,736000,756000,736000,752000,49828
20240531,739000,740000,728000,730000,51389
20240530,726000,744000,721000,732000,38342
20240529,739000,747000,726000,727000,89242
20240528,754000,755000,745000,745000,52416
20240527,754000,759000,746000,755000,44353
20240524,763000,766000,751000,751000,81016
20240523,773000,779000,770000,770000,73622
20240522,781000,787000,776000,777000,41152
20240521,785000,787000,779000,779000,58316
20240520,792000,793000,785000,790000,40399
20240517,783000,791000,782000,788000,45694
20240516,786000,791000,781000,784000,65778
20240514,783000,789000,779000,781000,28625
20240513,791000,794000,780000,781000,35239
20240510,789000,794000,783000,787000,65984
20240509,796000,796000,779000,781000,82989
20240508,795000,803000,790000,791000,82414
20240507,777000,790000,777000,785000,87824
20240503,779000,781000,771000,771000,56064
20240502,777000,783000,774000,775000,49111
20240430,776000,787000,775000,781000,60733
20240429,775000,778000,768000,775000,90707
20240426,779000,780000,769000,770000,82298
20240425,783000,789000,775000,780000,68732
20240424,799000,804000,788000,790000,48667
20240423,795000,800000,789000,791000,44112
20240422,790000,805000,788000,802000,59922
20240419,784000,789000,770000,781000,55678
20240418,780000,797000,777000,790000,33200
20240417,785000,787000,776000,776000,29827
20240416,787000,794000,781000,785000,43773
20240415,784000,794000,777000,793000,31597
20240412,795000,801000,787000,790000,41353
20240411,796000,803000,785000,795000,61233
20240409,819000,821000,805000,805000,39596
20240408,808000,821000,798000,815000,38397
20240405,812000,816000,804000,813000,39178
20240404,816000,823000,812000,817000,34651
20240403,811000,824000,811000,812000,50722
20240402,813000,822000,810000,816000,42986
20240401,838000,838000,816000,816000,56352
20240329,833000,848000,828000,831000,48645
20240328,832000,836000,826000,833000,35639
20240327,828000,837000,827000,836000,34924
20240326,846000,849000,826000,828000,69691
20240325,847000,852000,835000,840000,47393
20240322,851000,856000,840000,840000,52133
20240321,853000,858000,830000,857000,76873
20240320,854000,865000,846000,850000,67582
20240319,860000,861000,845000,848000,58733
20240318,834000,880000,826000,859000,173754
20240315,837000,855000,826000,826000,90093
20240314,830000,840000,825000,840000,75301
20240313,842000,848000,819000,828000,59985
20240312,836000,841000,826000,840000,46577
20240311,842000,843000,825000,830000,63779
20240308,813000,845000,812000,838000,186051
20240307,794000,812000,786000,796000,86253
20240306,778000,793000,777000,785000,37169
20240305,770000,794000,768000,780000,53508
20240304,777000,784000,772000,774000,82555
20240229,796000,801000,772000,774000,137601
20240228,807000,812000,796000,801000,57242
20240227,816000,816000,803000,807000,57386
20240226,817000,822000,809000,810000,64612
20240223,819000,828000,806000,814000,71915
20240222,825000,832000,818000,820000,39730
20240221,822000,824000,817000,823000,90685
20240220,819000,824000,815000,818000,50674
20240219,820000,827000,818000,821000,56712
20240216,829000,829000,815000,828000,61091
20240215,835000,835000,818000,821000,48715
20240214,832000,833000,815000,828000,53356
20240213,817000,842000,817000,838000,87548
20240208,831000,833000,802000,815000,99897
20240207,849000,852000,825000,826000,97535
20240206,857000,878000,841000,846000,78915
20240205,851000,867000,840000,847000,79000
20240202,823000,862000,822000,859000,134042
20240201,829000,835000,816000,829000,86022
20240131,823000,845000,822000,840000,149788
20240130,800000,829000,800000,823000,147117
20240129,800000,815000,793000,800000,194799
20240126,778000,781000,767000,773000,58880
20240125,795000,800000,779000,785000,96679
20240124,797000,808000,783000,788000,86457
20240123,793000,799000,789000,799000,77547
20240122,775000,793000,771000,793000,136637
20240119,751000,771000,747000,770000,92506
20240118,756000,760000,748000,750000,45252
20240117,770000,770000,755000,756000,66807
20240116,765000,777000,755000,766000,71224
20240115,742000,768000,739000,764000,56061
20240112,752000,758000,740000,744000,36332
20240111,750000,765000,746000,751000,51085
20240110,758000,758000,745000,746000,25263
20240109,757000,758000,751000,752000,32301
20240108,763000,763000,746000,749000,60440
20240105,765000,769000,753000,756000,60943
20240104,782000,784000,759000,770000,77785
20240103,782000,793000,776000,787000,87350
20240102,760000,800000,756000,789000,199238
20231228,729000,760000,727000,760000,132038
20231227,722000,729000,720000,729000,58878
20231226,725000,725000,718000,722000,53109
20231222,716000,720000,712000,720000,45762
20231221,715000,720000,707000,712000,41859
20231220,706000,721000,704000,719000,104842
20231219,701000,705000,701000,704000,39179
20231218,705000,706000,700000,701000,52926
20231215,702000,705000,700000,703000,59749
20231214,707000,709000,698000,698000,103213
20231213,704000,705000,700000,701000,41081
20231212,708000,709000,701000,704000,47792
20231211,709000,710000,702000,703000,48422
20231208,713000,716000,705000,709000,53728
20231207,705000,711000,700000,709000,46923
20231206,717000,719000,705000,705000,54580
20231205,708000,720000,707000,715000,47546
20231204,716000,719000,712000,712000,33719
20231201,725000,727000,711000,711000,48585
20231130,725000,728000,718000,725000,67312
20231129,727000,732000,723000,729000,66261
20231128,712000,729000,705000,727000,77689
20231127,709000,712000,700000,703000,52956
20231124,721000,724000,708000,709000,46574
20231123,719000,724000,717000,721000,23751
20231122,717000,723000,714000,721000,29844
20231121,724000,726000,719000,722000,32807
20231120,716000,726000,715000,720000,34355
20231117,735000,735000,723000,723000,27497
20231116,732000,737000,728000,732000,27205
20231115,728000,732000,722000,732000,63594
20231114,728000,728000,718000,720000,41556
20231113,730000,730000,719000,720000,25062
20231110,718000,727000,716000,726000,24386
20231109,734000,736000,723000,723000,35234
20231108,740000,745000,728000,734000,40089
20231107,730000,734000,724000,732000,43799
20231106,713000,732000,710000,732000,80061
20231103,715000,716000,701000,705000,36328
20231102,714000,717000,707000,712000,45967
20231101,709000,715000,702000,703000,37889
20231031,719000,719000,705000,709000,70709
20231030,720000,727000,718000,721000,40548
20231027,721000,731000,713000,723000,55341
20231026,718000,743000,710000,729000,142791
20231025,738000,739000,719000,723000,79970
20231024,708000,738000,707000,738000,124416
20231023,706000,710000,699000,700000,65874
20231020,706000,711000,700000,706000,52535
20231019,694000,713000,694000,711000,72043
20231018,718000,724000,704000,704000,40184
20231017,723000,728000,721000,721000,30640
20231016,723000,727000,714000,716000,34169
20231013,720000,727000,718000,721000,31573
20231012,733000,733000,721000,728000,37458
20231011,730000,735000,723000,725000,37365
20231010,731000,739000,723000,726000,54438
20231006,729000,735000,718000,731000,56082
20231005,697000,735000,691000,723000,149314
20231004,668000,701000,668000,691000,132636
20230927,673000,686000,673000,681000,57048
20230926,693000,694000,677000,680000,79029
20230925,704000,706000,694000,694000,53684
20230922,705000,710000,701000,703000,43888
20230921,717000,718000,709000,710000,60445
20230920,729000,729000,718000,719000,46229
20230919,735000,736000,728000,729000,27063
20230918,733000,740000,731000,732000,42033
20230915,732000,734000,727000,731000,63153
20230914,726000,731000,719000,731000,52397
