date,open,high,low,close,volume
20250116,54200,54800,54100,54800,5172486
20250115,54100,54700,53500,53700,18625025
20250114,54200,54600,53700,53900,17465926
20250113,54600,55000,54100,54100,16868600
20250110,56100,56500,55200,55300,16059223
20250109,57600,57700,56100,56100,24490592
20250108,54800,57500,54700,57300,26593553
20250107,56800,57300,55400,55400,17030235
20250106,54400,56200,54300,55900,19034284
20250103,52800,55100,52800,54400,19318046
20250102,52700,53600,52300,53400,16630538
20241230,53300,54000,53100,53200,12624702
20241227,53500,54100,53200,53700,10747196
20241226,54500,54600,53500,53600,10517075
20241224,53700,54500,53600,54400,11634677
20241223,53400,54000,53300,53500,13672650
20241220,52700,53100,51900,53000,24674774
20241219,53500,53800,53100,53100,22481925
20241218,54100,55400,54000,54900,13698937
20241217,54700,55200,54000,54200,20215230
20241216,56300,56600,55200,55600,15277277
20241213,55800,56300,55500,56100,15908823
20241212,54000,56500,53900,55900,33476698
20241211,53600,54200,53400,54000,14565947
20241210,54500,54500,53700,54000,20783970
20241209,53500,54600,53200,53400,26227680
20241206,53900,54400,52700,54100,22861874
20241205,53200,54400,53200,53700,23588277
20241204,52000,53400,52000,53100,29004766
20241203,53100,54400,53100,53600,23374603
20241202,54300,54400,53100,53600,22044867
20241129,55100,55300,53800,54200,24513531
20241128,56000,56400,55200,55500,20001134
20241127,57700,57800,56000,56300,21808387
20241126,57900,58900,57500,58300,23209405
20241125,57400,57900,56700,57900,36237325
20241122,56000,56700,55900,56000,15281543
20241121,54900,56900,54700,56400,19096850
20241120,56100,56500,54800,55300,20864667
20241119,56500,57500,55900,56300,31539632
20241118,57000,57500,55900,56700,48095234
20241115,50300,54200,50300,53500,46774485
20241114,50200,51800,49900,49900,48510715
20241113,52000,53000,50500,50600,52527995
20241112,54600,54600,53000,53000,37962881
20241111,56700,56800,55000,55000,29811326
20241108,58000,58300,57000,57000,13877396
20241107,56900,58100,56800,57500,17043102
20241106,57600,58000,56300,57300,22092218
20241105,57800,58100,57200,57600,17484474
20241104,58600,59400,58400,58700,15586947
20241101,59000,59600,58100,58300,19083180
20241031,58500,61200,58300,59200,35809196
20241030,59100,59800,58600,59100,19838511
20241029,58000,59600,57300,59600,28369314
20241028,55700,58500,55700,58100,27775009
20241025,56000,56900,55800,55900,25829315
20241024,58200,58500,56600,56600,31499922
20241023,57500,60000,57100,59100,27300780
20241022,58800,58900,57700,57700,27582527
20241021,59000,59600,58500,59000,18514905
20241018,59900,60100,59100,59200,14420260
20241017,59400,60100,59100,59700,23372873
20241016,59400,60000,59200,59500,23303268
20241015,61100,61400,60100,61000,22715239
20241014,59500,61200,59400,60800,20886249
20241011,59100,60100,59000,59300,29623969
20241010,60100,60200,58900,58900,45262214
20241008,60000,61000,59900,60300,27411786
20241007,60200,61900,59500,61000,35066533
20241004,61000,61700,60500,60600,24247578
20241002,60500,61900,59900,61300,28473536
20240930,64200,64300,61500,61500,32694163
20240927,64700,65400,64200,64200,28433030
20240926,63900,64900,63700,64700,37566015
20240925,63800,64200,62200,62200,28652438
20240924,62800,63400,62400,63200,26957500
20240923,62300,63500,62200,62600,28542376
20240920,63800,64700,63000,63000,32746056
20240919,64000,64400,62200,63100,49402713
20240913,65000,65500,64300,64400,25045135
20240912,66000,66600,65200,66300,35884106
20240911,65100,65500,64200,64900,35809707
20240910,67000,67300,66000,66200,30651376
20240909,66900,68200,66600,67500,23263298
20240906,69100,69700,68000,68900,19022299
20240905,70100,71200,69000,69000,25686769
20240904,69800,71100,69800,70000,27366563
20240903,74100,74300,72500,72500,16314599
20240902,74500,74700,73500,74400,12641376
20240830,74400,75000,74100,74300,16358520
20240829,73600,74700,73500,74000,16884479
20240828,75800,76400,75400,76400,9794514
20240827,75700,76500,75600,75800,11130145
20240826,78100,78200,76000,76100,15655938
20240823,77700,78400,77500,77700,9420306
20240822,78700,78900,77800,78300,8149101
20240821,77900,78600,77800,78300,7805598
20240820,79500,79800,78700,78900,10683836
20240819,80100,80100,78000,78300,14146565
20240816,79400,80200,78700,80200,22061478
20240814,77400,77800,77000,77200,13246168
20240813,76500,76600,75500,76100,10716261
20240812,75200,75900,74800,75500,9839259
20240809,75700,75800,74200,74700,16388222
20240808,73200,73900,72500,73400,28414729
20240807,73000,76000,72800,74700,32710428
20240806,74900,75300,72300,72500,47295226
20240805,76700,76900,70200,71400,54608790
20240802,81000,81400,79500,79600,25800275
20240801,86000,86100,83100,83100,20900338
20240731,81200,83900,80900,83900,20744323
20240730,80400,81000,80000,81000,13169636
20240729,81600,82000,81100,81200,12797136
20240726,80700,81300,80400,80900,14508334
20240725,80400,81000,80100,80400,20323811
20240724,82900,83300,81900,82000,16939083
20240723,84200,84700,83400,83900,15766389
20240722,84400,84900,82600,83000,18987560
20240719,85600,86100,84100,84400,18569122
20240718,83800,86900,83800,86900,24721790
20240717,87100,88000,86400,86700,18186490
20240716,86900,88000,86700,87700,16166688
20240715,84700,87300,84100,86700,25193080
20240712,85900,86100,84100,84400,26344386
20240711,88500,88800,86700,87600,24677608
20240710,87600,88000,87100,87800,17813847
20240709,87800,88200,86900,87800,21336201
20240708,87900,88600,86900,87400,24035809
20240705,85600,87100,85200,87100,45791193
20240704,82900,84700,82400,84600,43857229
20240703,82300,82300,81000,81800,11440328
20240702,82500,82600,81500,81800,14471904
20240701,81500,82100,81300,81800,11317202
20240628,81900,81900,80800,81500,9455929
20240627,81300,81600,80500,81600,11739720
20240626,80100,81400,79900,81300,17783242
20240625,80600,81800,80100,80800,19088458
20240624,79700,80900,79500,80600,15454227
20240621,80700,80800,80000,80000,17907523
20240620,81500,82200,81200,81600,20288913
20240619,81100,82500,80500,81200,24168863
20240618,78700,80200,78600,79800,18207598
20240617,79200,79500,78000,78100,16123051
20240614,79700,80500,79000,79600,22926612
20240613,78400,79000,77800,78600,33763804
20240612,75300,77100,75200,76500,19246725
20240611,75900,76000,75100,75200,16971175
20240610,76100,76600,75600,75700,14598755
20240607,78400,78600,77100,77300,21189349
20240605,78000,78000,76800,77400,23177968
20240604,74900,76100,74900,75300,14098053
20240603,74400,76400,74200,75700,15706268
20240531,74500,74700,73500,73500,26198776
20240530,74800,75200,73500,73500,28551273
20240529,77700,78200,75200,75200,30244875
20240528,76500,78000,76200,77600,18539072
20240527,75300,78200,74000,77200,43825202
20240524,76800,77000,75700,75900,27891278
20240523,77700,79100,77100,78300,18728087
20240522,78100,78700,77300,77700,19521506
20240521,78500,79000,78200,78400,13690583
20240520,78100,79100,77900,78900,19456783
20240517,78600,78800,77200,77400,15918201
20240516,80200,80300,78100,78200,20989778
20240514,78600,78800,77900,78300,11763992
20240513,79400,79900,77600,78400,18652344
20240510,80400,81100,78900,79200,16976124
20240509,81100,81500,79700,79700,18759935
20240508,80800,81400,80500,81300,13089576
20240507,79600,81300,79400,81300,26238868
20240503,79000,79000,77500,77600,13151889
20240502,77600,78600,77300,78000,18900640
20240430,77000,78500,76600,77500,19007007
20240429,77400,77600,76200,76700,14664474
20240426,77800,77900,76500,76700,12755629
20240425,77300,77500,76300,76300,15549134
20240424,77500,78800,77200,78600,22166150
20240423,76400,76800,75500,75500,18717699
20240422,77400,77500,75100,76100,30469477
20240419,78300,78700,76300,77600,31317563
20240418,78800,80100,78300,79600,21370190
20240417,80700,80800,78900,78900,22611631
20240416,81200,81300,79400,80000,31949845
20240415,82900,83200,81200,82200,26663772
20240412,84700,84900,83200,83700,17061770
20240411,83200,84700,82500,84100,25538009
20240409,84500,84900,83100,83600,23725956
20240408,85200,86000,84500,84500,18953232
20240405,84500,85000,83800,84500,18883752
20240404,85200,85500,84300,85300,25248934
20240403,84300,85000,83500,84100,30493347
20240402,82900,85000,82900,85000,37077944
20240401,83200,83300,82000,82000,20116513
20240329,81200,82500,80900,82400,27126366
20240328,79400,81000,79200,80800,25084812
20240327,79200,80000,79200,79800,17424595
20240326,79700,80100,79200,79900,30551494
20240325,79600,79800,77800,78200,18703996
20240322,79600,79900,77800,78900,26724761
20240321,79200,79300,77700,79300,44569799
20240320,73700,77200,73400,76900,50106297
20240319,72300,73000,71700,72800,15376066
20240318,72600,73000,72500,72800,11520348
20240315,73400,73700,72300,72300,22580555
20240314,74400,74500,73600,74300,22545539
20240313,73700,74100,73500,74100,15243134
20240312,72600,73500,72100,73300,13011654
20240311,72900,73100,72300,72400,9740504
20240308,72800,73400,72600,73300,19271349
20240307,73100,73300,72200,72200,14516963
20240306,73200,73500,72700,72900,21547905
20240305,74600,74800,73700,73700,19505125
20240304,74300,75000,74000,74900,23210474
20240229,72600,73400,72000,73400,21176403
20240228,72900,73900,72800,73200,11795859
20240227,73100,73400,72700,72900,13201981
20240226,72300,73200,72200,72800,14669352
20240223,73600,74200,72900,72900,16225166
20240222,73800,73900,72700,73100,15208934
20240221,73400,73700,72900,73000,11503495
20240220,73700,73700,72800,73300,14681477
20240219,72800,73900,72800,73800,12726404
20240216,73300,73400,72500,72800,13444781
20240215,74200,74400,73000,73000,14120600
20240214,73700,74300,73700,74000,12434945
20240213,74800,75200,74400,75200,21966745
20240208,75000,75200,73600,74100,20810708
20240207,74600,75500,74300,75000,16566445
20240206,74300,74700,73300,74400,14559254
20240205,74200,74800,73500,74300,19026021
20240202,74000,75200,73700,75200,14955881
20240201,73000,74200,72900,73600,19881033
20240131,73400,74000,72500,72700,15703560
20240130,75000,75300,73700,74300,12244418
20240129,73800,75200,73500,74400,13976521
20240126,73700,74500,73300,73400,11160062
20240125,74200,74800,73700,74100,11737747
20240124,75200,75200,73500,74000,12860661
20240123,75700,75800,74300,75200,14786224
20240122,75900,76000,75000,75100,19673375
20240119,73500,74700,73000,74700,23363427
20240118,71600,72000,70700,71700,17853397
20240117,73100,73300,71000,71000,22683660
20240116,73500,73700,72500,72600,14760415
20240115,73200,74000,73200,73900,13212339
20240112,73000,74100,72800,73100,13038939
20240111,72900,73600,72700,73200,57691266
20240110,75000,75200,73200,73600,20259529
20240109,77400,77700,74300,74700,26019249
20240108,77000,77500,76400,76500,11088724
20240105,76700,77100,76400,76600,11304316
20240104,76100,77300,76100,76600,15324439
20240103,78500,78800,77000,77000,21753644
20240102,78200,79800,78200,79600,17142847
20231228,77700,78500,77500,78500,17797536
20231227,76700,78000,76500,78000,20651042
20231226,76100,76700,75700,76600,13164909
20231222,75800,76300,75400,75900,14515608
20231221,74600,75000,74300,75000,13478766
20231220,74200,74900,73800,74800,16870156
20231219,73000,73400,72800,73400,8907632
20231218,73300,73400,72800,72900,9690551
20231215,73800,74000,73200,73300,15419815
20231214,74100,74300,72500,73100,27567593
20231213,73300,73500,72800,72800,13116766
20231212,73300,73500,73100,73500,13758646
20231211,72800,73000,72200,73000,9861960
20231208,72100,72800,71900,72600,10859463
20231207,71800,71900,71100,71500,8862017
20231206,71800,72100,71600,71700,8123087
20231205,72300,72400,71200,71200,12129682
20231204,72800,72900,72400,72600,10229267
20231201,72400,72500,71700,72000,9871284
20231130,72700,72800,72200,72800,15783714
20231129,72400,72800,72200,72700,9283933
20231128,71400,72700,71300,72700,13283081
