date,open,high,low,close,volume
20250116,182000,183000,181900,182900,75211
20250115,184800,185500,180100,180700,560704
20250114,185000,187800,183600,184500,374473
20250113,184600,186900,182500,183800,444673
20250110,185600,186700,184300,185100,373255
20250109,185000,186300,183100,185500,434143
20250108,183100,186800,183100,184500,437144
20250107,184000,187500,183200,183900,497029
20250106,181000,184700,179700,183700,459671
20250103,180600,182200,180300,180900,360452
20250102,187500,188300,180100,180300,577872
20241230,180000,190200,179800,187500,531670
20241227,183200,185800,176800,180400,571954
20241226,185671,187486,181947,182902,639596
20241224,185194,185958,183570,185671,377348
20241223,184621,185767,183857,185194,297804
20241220,182520,184334,181087,183857,435840
20241219,185385,187677,183379,183761,712403
20241218,184525,190924,184525,190256,7090362
20241217,187200,187200,183379,184525,1057902
20241216,189110,189396,185958,187391,1144680
20241213,177267,187295,177267,184716,1106707
20241212,176502,176694,175261,176598,688354
20241211,173924,176598,172969,175929,365344
20241210,168862,173924,168862,173924,459801
20241209,167143,171345,166856,167238,740083
20241206,172873,174210,168957,172014,629214
20241205,175643,178126,172300,172873,445274
20241204,173828,177649,173637,174783,763965
20241203,176502,180036,175738,178508,423200
20241202,180800,180991,175547,176311,518398
20241129,178699,179845,176980,178604,723050
20241128,169721,178699,169244,178031,927961
20241127,167238,170772,167238,169817,389937
20241126,168862,170390,167143,167716,308887
20241125,166187,170772,164946,168862,686382
20241122,166665,168575,165232,165710,364186
20241121,165232,169148,165041,165901,645836
20241120,164182,165328,161985,163704,355338
20241119,164277,166474,164086,164850,411424
20241118,157687,165232,156159,164850,620700
20241115,159979,160648,153103,157974,632120
20241114,158165,161603,158165,158929,626093
20241113,157592,160648,156636,157783,684552
20241112,164850,166283,158260,158451,1166163
20241111,172014,172873,163322,166283,1051989
20241108,174019,176407,172587,173351,451409
20241107,175070,176407,169244,172109,630530
20241106,176407,177076,172109,176502,499020
20241105,177267,179272,175165,176120,283846
20241104,172969,178986,172205,178986,455588
20241101,172873,175165,172109,172969,349523
20241031,178604,179081,174306,174306,553428
20241030,180036,180514,178795,179272,319625
20241029,179750,181469,178604,180609,371738
20241028,178317,180514,177744,179272,362568
20241025,177649,180227,174306,178031,615040
20241024,177362,178508,175929,177553,346676
20241023,179463,181087,176311,177362,589963
20241022,182711,183857,178890,179081,583860
20241021,180800,184048,180800,183093,463387
20241018,180514,182424,179272,179941,617794
20241017,187009,187677,179559,180418,1223282
20241016,190351,191975,186913,187009,653149
20241015,187009,192930,186053,191498,695365
20241014,190160,190447,186627,187009,456933
20241011,186340,189396,185480,188441,506323
20241010,183857,187677,183761,185576,737661
20241008,183666,184716,182615,182615,510845
20241007,185385,186531,182424,184812,381327
20241004,182902,187009,182138,184048,497277
20241002,183570,186627,182424,182424,490882
20240930,186818,188537,184048,186627,557278
20240927,191975,192453,186053,186053,978269
20240926,190924,192930,189110,192930,575979
20240925,198183,200093,190733,191020,664224
20240924,196273,196273,191020,196273,504011
20240923,193885,201526,193885,195796,871670
20240920,192930,194363,190924,192453,777134
20240919,189205,193408,189205,192453,790580
20240913,186818,187295,185098,186436,305830
20240912,182520,187200,182138,186818,691306
20240911,188059,188059,180227,182138,613131
20240910,185480,187582,183761,187009,574943
20240909,178413,184716,178317,183475,418145
20240906,179654,183857,177171,182615,692270
20240905,183475,184525,176885,179559,669891
20240904,181947,185480,181565,181660,806044
20240903,188059,191498,187964,188155,406375
20240902,193885,194363,186722,188250,823672
20240830,191020,195318,190924,193885,793694
20240829,191975,195318,189969,190065,544370
20240828,192453,194840,188919,192453,705574
20240827,195796,199616,191020,191498,732097
20240826,195318,198183,193408,195796,647048
20240823,192930,195318,191975,193408,613847
20240822,191020,195318,189110,193408,834264
20240821,189110,191020,187868,190829,854060
20240820,189969,190638,187009,187391,513440
20240819,188632,190351,186722,188728,586458
20240816,186627,191975,186245,188346,987181
20240814,185480,186531,182233,185862,708887
20240813,190065,191020,182902,184048,1031928
20240812,190638,194840,189683,191020,1000715
20240809,189110,192453,185862,187200,1166055
20240808,188346,190447,183857,186913,1431094
20240807,172300,195796,172205,188155,3799505
20240806,179177,182424,173446,173828,1768415
20240805,179845,186531,165232,174306,2078081
20240802,188632,190351,183666,184907,1083203
20240801,191975,197706,190829,191020,943853
20240731,200093,201049,191498,195318,1070676
20240730,197706,201526,194363,199616,1092649
20240729,193885,200571,192930,199616,1368703
20240726,192453,195318,189205,191020,1090600
20240725,185289,195796,183475,190256,2263295
20240724,179845,186245,178126,184716,979679
20240723,183857,185671,180705,180705,721067
20240722,179559,185671,179272,184525,1485116
20240719,177649,180609,177171,179463,419239
20240718,183379,183570,179272,179463,672414
20240717,180514,184621,178890,183857,1060333
20240716,181469,181565,176311,180227,557387
20240715,182424,183379,180036,180227,560611
20240712,177267,182806,177171,180323,886309
20240711,177744,177744,174879,177458,542331
20240710,178604,178795,175643,176407,503748
20240709,175261,179463,175261,178795,625683
20240708,177267,178413,174783,175165,430004
20240705,175261,179081,173637,177458,757788
20240704,174592,176120,172778,174688,411709
20240703,176694,177076,172300,173637,480747
20240702,175834,177362,172682,176216,773089
20240701,167334,175834,167334,175834,1100005
20240628,166283,167525,165710,166474,346930
20240627,167525,168098,165996,165996,521074
20240626,169721,170294,168671,168862,429795
20240625,172587,172873,169721,170390,380534
20240624,169912,172109,169721,170963,392983
20240621,171631,173255,169148,169148,1605167
20240620,174974,174974,172014,172014,386548
20240619,172778,175261,171918,175165,489741
20240618,171727,173064,170199,171058,478319
20240617,175165,175643,171631,171727,633359
20240614,174497,178031,171631,175165,1053786
20240613,181087,182997,174401,174401,1522383
20240612,186149,186245,178890,179177,962278
20240611,181469,186245,180227,183952,821077
20240610,180036,184048,178222,180991,567321
20240607,183188,183952,180036,182520,517371
20240605,180896,184907,179750,181756,931981
20240604,169912,181373,169912,179654,1351929
20240603,169244,172587,168862,170963,324381
20240531,171631,173828,168193,168289,924390
20240530,169530,173255,169244,169339,374288
20240529,171154,171822,169148,170867,516848
20240528,171536,174210,170485,172778,431332
20240527,172491,173064,170485,171536,420133
20240524,174401,175547,171536,171822,510121
20240523,175547,177171,175261,175261,302895
20240522,178126,179559,175929,176502,325158
20240521,177171,179368,176694,177840,250391
20240520,184621,184812,176407,178604,554498
20240517,181660,183761,180036,182902,1047244
20240516,185098,186627,183666,184334,488115
20240514,180896,183093,180323,182329,290632
20240513,184334,184621,179845,182233,464146
20240510,184621,188059,183379,184239,748908
20240509,186053,187200,181182,181182,841433
20240508,186627,187486,184812,185862,485821
20240507,182424,188155,182424,185671,1117338
20240503,180418,181087,178795,180514,308846
20240502,179463,182138,178604,179081,550382
20240430,175452,182615,174783,180514,1284805
20240429,170485,175547,170485,175452,672703
20240426,169530,170772,168384,168671,231574
20240425,169721,170963,168193,169435,322106
20240424,172109,172778,171058,171440,292279
20240423,170772,171631,169626,171631,314937
20240422,167811,170676,166856,170676,450725
20240419,167143,167525,163322,165137,527798
20240418,165137,169817,165041,169148,497182
20240417,165423,169053,162080,163322,718765
20240416,169339,170294,164086,164277,665615
20240415,171918,172682,170485,170581,379353
20240412,171345,175070,170103,174019,500955
20240411,169721,172587,169530,171440,550324
20240409,181469,182138,173160,173160,814039
20240408,169053,182329,168193,180036,1101621
20240405,170008,171249,169339,169530,350777
20240404,174210,174497,171536,171536,334271
20240403,173446,174115,171536,172396,500096
20240402,178413,179272,175547,175547,539275
20240401,184812,185385,178604,179654,706054
20240329,175738,184143,175738,182615,1499851
20240328,174306,177935,173828,175547,939093
20240327,176216,177649,172205,175929,674616
20240326,180323,182902,177171,178031,722855
20240325,181660,183761,180418,180418,676426
20240322,177267,180418,177171,179750,598146
20240321,176694,177458,174974,177458,623625
20240320,176980,177171,174783,174879,391627
20240319,172873,176502,172396,176120,643295
20240318,172778,176120,172205,174306,560093
20240315,172109,174115,170772,172682,1095571
20240314,170676,172396,170581,171345,1919820
20240313,173637,173828,169721,170772,479524
20240312,172205,173828,168098,173542,442438
20240311,173064,174401,171249,171440,398605
20240308,171727,173160,169912,172205,543817
20240307,173255,174879,168766,169148,565288
20240306,168098,172778,166665,172491,690671
20240305,167143,171918,164564,167907,1034929
20240304,172300,173160,167238,168193,959698
20240229,181087,182711,171631,171631,1416874
20240228,181660,184716,178126,181469,854512
20240227,173828,182806,173160,181565,1701090
20240226,173828,174974,172682,173351,507715
20240223,169244,176120,168862,171918,863195
20240222,169626,171536,167525,168575,538912
20240221,171822,171918,168957,169053,576129
20240220,174306,174783,171631,171822,461128
20240219,174019,175547,173446,174210,308434
20240216,176120,176216,173828,174019,309104
20240215,177744,177744,174401,174401,375754
20240214,176502,177649,174497,175929,505758
20240213,173446,179845,173255,179081,977022
20240208,171536,174210,171154,171536,673869
20240207,175834,177171,170676,170963,785145
20240206,173064,177840,173064,174783,600925
20240205,175738,176120,171440,172778,536539
20240202,170676,175738,170676,175738,569303
