date,open,high,low,close,volume
20250116,37400,37850,37100,37300,321805
20250115,36950,38150,36500,37000,2186274
20250114,36650,36950,36350,36850,1087274
20250113,36200,36900,36200,36500,1170255
20250110,37200,37400,36400,36550,2240282
20250109,37450,37850,37200,37200,2219066
20250108,38300,39000,37200,37400,2887696
20250107,39400,39900,38550,38650,1438838
20250106,37800,39250,37800,39150,1459048
20250103,37450,39250,37450,38050,1971546
20250102,38500,38600,37000,37450,1391090
20241230,38800,39150,38100,38200,1110508
20241227,38550,39400,38350,38850,1236769
20241226,39650,39850,38400,38550,1921654
20241224,39750,40150,39500,39500,1110417
20241223,41000,41000,39200,39700,2132239
20241220,40800,41500,40350,40800,1973168
20241219,42050,42700,40850,41200,2407758
20241218,43000,43750,42800,43400,1516552
20241217,43650,44250,42700,42850,2019873
20241216,47000,47050,43550,43950,4206177
20241213,43700,46450,43400,45900,4615083
20241212,45000,45250,42500,43700,3811891
20241211,44250,45300,43900,44600,2218036
20241210,43000,44000,42950,43850,2629946
20241209,43050,45100,42050,42300,4184554
20241206,44400,45650,42850,44500,6696783
20241205,45700,46150,43600,44100,5207632
20241204,42200,47100,41600,46600,13795722
20241203,42450,43000,42050,42950,3152958
20241202,40550,42500,40150,42150,5583827
20241129,38150,40900,38000,40100,5364138
20241128,38500,38700,37750,38200,1210453
20241127,37100,38400,37000,38350,2268347
20241126,35850,37100,35850,37000,1228125
20241125,36400,36450,35850,36150,1189187
20241122,35200,36450,35150,36050,1095476
20241121,34850,35850,34850,35150,1106598
20241120,35950,36000,35250,35500,1012884
20241119,34800,36250,34800,36250,1485633
20241118,33800,35200,33800,35100,1298626
20241115,33100,34550,32950,34050,1328815
20241114,33400,34350,32550,32800,1837035
20241113,33000,33500,32850,33400,1190150
20241112,33400,34300,33200,33250,1444893
20241111,35050,35100,33700,33700,1507751
20241108,36950,37250,34800,35000,2225394
20241107,36550,36900,36100,36550,745736
20241106,37750,37750,36250,36550,981949
20241105,36950,37950,36800,37750,740056
20241104,36250,37450,36250,37350,873319
20241101,36550,36800,36150,36150,689940
20241031,37150,37700,36450,36950,1258900
20241030,37350,38050,37150,37350,847115
20241029,37250,37800,37050,37350,450611
20241028,36450,37450,36250,37450,686130
20241025,37450,37700,36100,36500,852346
20241024,37500,37650,37050,37450,637040
