date,open,high,low,close,volume
20250116,21350,21600,21200,21300,158000
20250115,21250,21550,20950,21100,701287
20250114,21250,21400,20900,21100,538921
20250113,21200,21500,21000,21100,687643
20250110,21600,21750,21150,21400,648074
20250109,21500,21850,21400,21650,571281
20250108,21250,22000,21250,21650,422301
20250107,21750,22050,21400,21400,545817
20250106,21500,21950,21250,21750,448975
20250103,20900,21900,20900,21450,566429
20250102,21150,21250,20850,20950,402178
20241230,21550,21700,21050,21050,591590
20241227,21650,22050,21400,21600,398812
20241226,22250,22300,21800,21800,322607
20241224,22450,22650,22100,22150,273805
20241223,22350,22550,21750,22500,415660
20241220,22400,22700,22100,22100,616840
20241219,23000,23100,22550,22600,712244
20241218,23400,23750,23300,23750,388582
20241217,23900,24100,23100,23350,596007
20241216,25050,25100,23750,24050,955459
20241213,23550,24750,23400,24500,1320301
20241212,24250,24250,23300,23700,1341360
20241211,23250,24150,23150,24150,1195907
20241210,22950,23400,22850,23150,628631
20241209,23150,23750,22650,22700,1219518
20241206,22650,24050,22050,23650,2267589
20241205,23600,23600,22400,22550,1198521
20241204,23250,24950,22750,24000,3600576
20241203,23600,23700,23200,23450,845605
20241202,22550,23500,22500,23350,1647647
20241129,22600,22650,21650,22350,782104
20241128,22600,22600,22100,22550,458843
20241127,21800,22650,21750,22500,1017594
20241126,21500,21800,21500,21750,385976
20241125,21500,21750,21300,21700,680730
20241122,21300,21450,21150,21300,344881
20241121,21250,21400,21100,21100,364946
20241120,21100,21300,21000,21250,306508
20241119,20600,21350,20600,21100,439613
20241118,20100,20800,20100,20800,540728
20241115,20150,20450,20100,20250,491691
20241114,20450,20900,20100,20100,656546
20241113,20300,20800,20200,20250,522593
20241112,20900,21200,20500,20500,686364
20241111,21800,22050,21000,21050,670139
20241108,22450,22750,22000,22100,394826
20241107,22350,22450,21600,22200,618968
20241106,22950,23500,22300,22550,1061296
20241105,22350,22600,22050,22450,461733
20241104,21800,22600,21700,22550,599256
20241101,21600,21850,21450,21750,254325
20241031,21950,21950,21600,21650,425955
20241030,22150,22500,21900,22100,376915
20241029,21950,22200,21750,22200,279524
20241028,21650,22200,21650,22200,426169
20241025,21650,21950,21400,21650,411060
20241024,21700,21850,21500,21650,230399
20241023,21650,21800,21400,21700,357273
20241022,22200,22450,21450,21750,550787
20241021,22800,23200,22450,22450,671357
20241018,22600,22850,22400,22650,525314
20241017,22800,22800,22400,22400,414967
20241016,22400,22750,22250,22600,537049
20241015,22500,22650,22200,22600,515506
20241014,22100,22500,22050,22400,581502
20241011,21950,22350,21950,22100,477589
20241010,21350,22350,21250,22000,1632037
20241008,21150,21350,20900,21300,416846
20241007,21050,21500,20900,21300,319316
20241004,21150,21300,20800,21250,545725
20241002,20850,21350,20700,21000,648445
20240930,22000,22300,21100,21150,635056
20240927,22400,22450,21650,21650,479897
20240926,21750,22350,21700,22350,613371
20240925,22400,22600,21600,21600,662808
20240924,21650,22100,21500,22100,622510
20240923,21650,21700,21250,21600,320163
20240920,22100,22250,21400,21500,707442
20240919,21800,22050,21500,22050,805533
20240913,21150,21400,21050,21400,623476
20240912,20300,20950,20050,20950,1153362
20240911,20100,20300,19870,20100,396865
20240910,20300,20450,20050,20100,452822
20240909,19710,20250,19450,20150,460914
20240906,20500,20650,20150,20250,410138
20240905,20400,21000,20300,20500,514579
20240904,21000,21100,20200,20300,1148991
20240903,21600,21700,21350,21500,358961
20240902,22100,22150,21150,21500,744077
20240830,22350,22600,22100,22100,644290
20240829,22300,22450,21950,22100,444942
20240828,22650,22650,22050,22300,465629
20240827,22700,23100,22350,22550,863558
20240826,21900,22650,21850,22650,1175891
20240823,21800,21950,21350,21900,554829
20240822,21700,21900,21550,21800,524571
20240821,21700,21700,21300,21500,390385
20240820,21850,21950,21450,21500,450582
20240819,22050,22250,21600,21650,439476
20240816,22050,22300,21750,22000,704267
20240814,21600,21800,21350,21700,519115
20240813,21750,21900,21400,21400,445863
20240812,21600,22050,21550,21850,571090
20240809,22050,22100,21400,21550,777480
20240808,21400,22150,20800,21850,2020691
20240807,19660,21750,19510,21400,2500498
20240806,19570,20350,19400,19680,1453951
20240805,21050,21050,18490,19180,2077299
20240802,21200,21500,20750,21250,677940
20240801,21300,21750,21250,21550,492728
20240731,21300,21400,21000,21400,494491
20240730,21650,21750,21150,21200,640052
20240729,21200,22000,21050,21850,911149
20240726,21350,21900,20950,21200,1047324
20240725,20450,22000,20250,21400,2472575
20240724,20450,20950,19970,20400,1414547
20240723,21450,23550,20000,20300,5426220
20240722,21350,21550,21100,21100,387022
20240719,21150,21450,20850,21400,384334
20240718,21650,21650,21000,21450,493495
20240717,21350,21750,21250,21550,490909
20240716,21550,21800,21200,21250,463568
20240715,22300,22350,21500,21500,550884
20240712,21700,22350,21650,22150,741543
20240711,21700,21750,21350,21700,644492
20240710,21600,21650,21350,21500,358063
20240709,21800,21950,21550,21750,452273
20240708,21200,21850,21150,21700,550978
20240705,21150,21700,21100,21400,742777
20240704,21000,21200,20700,21050,455718
20240703,20800,21350,20750,20800,490166
20240702,20750,21050,20600,20800,554391
20240701,20250,21100,20150,21000,756566
20240628,20350,20450,20150,20300,744172
20240627,20750,20900,20050,20250,1177800
20240626,21000,21250,20900,21000,687885
20240625,21200,21300,21000,21150,569960
20240624,21400,21400,21000,21000,353125
20240621,21200,21800,21050,21400,744426
20240620,21050,21450,20950,21150,512374
20240619,21050,21200,20800,21100,784179
20240618,21350,21450,20900,20950,558742
20240617,21650,21700,21050,21250,788489
20240614,22000,22200,21600,21600,944886
20240613,22500,22800,22100,22100,1128015
20240612,22300,22550,22150,22500,493544
20240611,22500,22650,22300,22350,537785
20240610,22400,22800,22250,22400,441992
20240607,22350,22950,22300,22700,732578
20240605,22250,22450,22050,22200,508062
20240604,22500,22750,22150,22250,529195
20240603,22400,23050,22300,22500,554407
20240531,22350,22600,22150,22250,2478368
20240530,22300,22450,21850,22150,693816
20240529,22700,22700,22450,22500,836388
20240528,23100,23400,22850,22900,497883
20240527,22700,23400,22650,23300,666095
20240524,22900,23000,22600,22650,865358
20240523,23000,23350,22950,23200,622275
20240522,23150,23400,22950,23300,590366
20240521,23400,23500,22800,23050,920341
20240520,23750,23850,23400,23500,612630
20240517,23850,24000,23500,23500,805129
20240516,24000,24300,23750,23800,1305491
20240514,23850,24000,23700,23700,781017
20240513,24100,24250,23800,23850,905299
20240510,24200,24300,23950,24050,1129104
20240509,25700,25750,23850,24050,3340432
20240508,26150,26350,25350,25600,1355350
20240507,25600,26100,25350,25850,1053703
20240503,25100,25450,25100,25300,589082
20240502,24700,24950,24100,24800,641419
20240430,25000,25250,24850,25100,662478
20240429,24850,25100,24650,25100,618041
20240426,24600,24950,24500,24650,442120
20240425,24350,24750,24100,24400,464577
20240424,24750,24900,24600,24700,476435
20240423,24550,24750,24400,24500,355484
20240422,24300,24700,24150,24700,490341
20240419,23500,23850,23250,23750,758594
20240418,23400,24200,23300,24050,575099
20240417,23850,24100,23200,23200,746824
20240416,24300,24500,23700,23800,867090
20240415,24550,24800,24000,24750,611917
20240412,25750,25900,24800,24850,1149992
20240411,25000,26150,24950,26150,994151
20240409,25950,26400,25800,25900,449045
20240408,25450,25900,24800,25750,615157
20240405,25750,25950,25300,25450,662472
20240404,26550,26800,25850,25950,726128
20240403,26500,26800,26200,26350,691274
20240402,27050,27050,26500,26550,1052402
20240401,27850,27850,27300,27400,530096
20240329,28150,28150,27500,27550,690017
20240328,28400,28450,27950,28100,581963
20240327,28450,28950,28050,28200,666492
20240326,28150,29200,27900,28850,1083811
20240325,28100,28200,27650,27800,560631
20240322,28000,28500,27950,28100,432870
20240321,28350,28500,28000,28250,749636
20240320,28150,28800,27900,27900,863166
20240319,27650,28100,27300,27850,806241
20240318,28500,28550,27750,27950,802723
20240315,29200,29200,28250,28400,996329
20240314,29200,29600,28950,29250,1307093
20240313,29150,29300,28750,29100,576957
20240312,29150,29350,28650,28900,484305
20240311,28600,29100,28350,28900,394337
20240308,29100,29500,28500,28750,706479
20240307,27900,28700,27850,28700,802632
20240306,27300,28150,27300,27650,562052
20240305,28150,28600,27500,27550,1025607
20240304,28450,29150,28200,28400,789277
20240229,28400,28850,28100,28450,928091
20240228,29700,29900,28450,28650,912643
20240227,30350,30650,29450,29550,705231
20240226,30400,30450,29850,30150,686199
20240223,29600,30350,29400,30100,943380
20240222,29850,30200,29500,29650,738712
20240221,29700,30100,29350,29600,608800
20240220,30000,30550,29450,29450,1039807
20240219,30300,30600,29850,30000,973489
20240216,30250,30500,29750,30100,845770
20240215,30350,31200,29800,29800,2148690
20240214,29000,30100,28650,29800,1138724
20240213,29450,30000,29450,29700,1450726
20240208,28400,29750,28250,29100,2480031
20240207,28000,31050,27950,28400,6674910
20240206,27500,27750,26950,27300,811187
20240205,29050,29050,27300,27500,1604228
20240202,27250,29600,27150,29300,2664997
20240201,26800,27250,26500,26850,1088283
20240131,27350,27550,26850,27300,558770
20240130,27950,28100,27400,27600,792684
20240129,29250,29250,27600,27650,1388508
20240126,29050,29850,28950,29100,862657
20240125,29000,29500,28400,29250,864630
20240124,29400,29650,28800,29200,766479
20240123,28200,29550,28200,29300,1763046
20240122,28700,29000,27800,27850,953313
20240119,29000,29300,28400,28400,941277
20240118,29000,29000,28300,28500,1134294
20240117,30400,30450,28600,29000,2083180
20240116,30900,31250,29750,30450,2682974
20240115,29400,31500,28450,31450,5505469
20240112,29700,30050,28000,29400,2887044
20240111,27300,30800,27050,29700,12102465
20240110,26600,27350,26450,27050,774088
20240109,26400,26850,26350,26500,614003
20240108,25950,26300,25850,25950,467742
20240105,26250,26550,25750,25900,559464
20240104,26800,27050,26200,26200,763853
20240103,27550,27750,27100,27200,830611
20240102,28150,28350,27250,28000,907014
20231228,27850,28500,27550,28500,1148062
20231227,27850,27850,27300,27700,578358
20231226,27450,27850,27200,27450,634265
20231222,27650,28100,27200,27200,625013
20231221,26900,27500,26800,27500,576079
20231220,26600,27450,26500,27400,1223701
20231219,26650,26750,26200,26250,681985
20231218,27150,27200,26150,26900,957925
20231215,26950,27100,26700,27100,1158616
20231214,26500,27150,26300,26850,2481490
20231213,26150,26300,25750,25950,650370
20231212,26300,26500,26000,26100,886538
20231211,26150,26250,25650,26250,775736
20231208,26100,26400,25850,26000,795584
20231207,25450,26000,25400,25850,543357
