date,open,high,low,close,volume
20250116,20500,20550,20200,20200,207809
20250115,20300,20500,20100,20400,1184187
20250114,20200,20550,20100,20150,1371283
20250113,20300,20400,20100,20150,963122
20250110,20200,20600,20150,20400,1036168
20250109,20350,20400,20100,20300,2030747
20250108,20250,20500,20100,20450,1100398
20250107,19980,20550,19940,20450,1696531
20250106,20050,20100,19880,19980,1728811
20250103,19590,20100,19580,20000,1308102
20250102,20050,20050,19400,19560,2127882
20241230,20000,20500,20000,20050,952798
20241227,20250,20350,19830,20000,1841452
20241226,20500,20600,20300,20400,791883
20241224,20650,20700,20400,20550,784465
20241223,20450,20750,20200,20700,1094287
20241220,20650,20750,20250,20300,1462786
20241219,20950,21000,20400,20600,2281302
20241218,21400,21400,21000,21300,1423546
20241217,21600,21750,21150,21300,1264645
20241216,21500,21850,21450,21550,1126990
20241213,21250,21500,21050,21350,1115002
20241212,21450,21800,21050,21150,2340214
20241211,21600,21600,21250,21450,933777
20241210,21000,21550,20950,21400,1601929
20241209,21000,21250,20450,20900,2010349
20241206,21700,22000,20750,21250,2829447
20241205,21750,22000,21300,21650,2115376
20241204,23000,23450,21300,21700,8835581
20241203,24100,24250,23550,23800,1960150
20241202,24250,24400,23900,24100,1350602
20241129,24250,24350,23750,23900,1694089
20241128,24250,24450,23950,24250,1035899
20241127,24300,24500,24100,24300,1414542
20241126,23800,24600,23800,24400,3576938
20241125,23800,24200,23500,23750,2479214
20241122,23800,24000,23550,23750,1037605
20241121,23600,24000,23450,23650,1185469
20241120,23800,24000,23550,23700,1053216
20241119,23600,24100,23300,23950,2666033
20241118,22800,23650,22800,23600,3334278
20241115,23150,23300,22550,22600,2372874
20241114,22450,23450,22350,23100,4590438
20241113,21400,22800,21150,22200,3522813
20241112,22100,22200,21350,21500,1750325
20241111,22050,22500,22050,22250,1004383
20241108,22900,22900,21850,22200,1999887
20241107,22800,23100,22550,22800,1521222
20241106,23050,23100,22500,23000,1313235
20241105,23000,23150,22850,23050,826743
20241104,23050,23200,22850,23100,1545425
20241101,23000,23300,22900,23050,1217875
20241031,22650,23200,22300,23100,2601617
20241030,22900,23150,22800,22950,1849732
20241029,22900,23250,22700,23050,2361322
20241028,22950,23200,22600,22800,1773516
20241025,22850,23350,22550,22800,2791811
20241024,22250,23250,22200,23050,5497098
20241023,21900,23550,21500,21950,9061287
20241022,21350,21950,21300,21800,2461729
20241021,21150,21600,21000,21250,1809347
20241018,20750,21150,20450,21050,1586670
20241017,20700,20900,20450,20650,1028613
20241016,20500,20750,20500,20650,734533
20241015,20650,20950,20450,20600,1161191
20241014,19860,20550,19860,20550,1393577
20241011,19870,19980,19780,19850,935400
20241010,20100,20100,19850,19850,1333600
20241008,19940,20200,19870,19950,868749
20241007,20100,20150,19630,19980,1640378
20241004,20100,20250,19980,20200,780316
20241002,20300,20450,20000,20050,1240997
20240930,20800,20950,20500,20550,1121399
20240927,20450,21000,20200,20800,2492907
20240926,19930,20400,19930,20350,1657220
20240925,20250,20400,19840,19840,2120966
20240924,20200,20300,19920,20100,2179831
20240923,20750,21150,20000,20100,6018913
20240920,22200,22250,21750,21950,2066513
20240919,22550,22650,21700,22200,1878362
20240913,22000,22300,21950,22250,1018545
20240912,21800,22050,21550,21950,2082455
20240911,21900,22250,21600,21750,1682536
20240910,21750,21850,21550,21600,1315051
20240909,21550,22050,21250,21750,1044509
20240906,22300,22500,21850,21900,1854198
20240905,22000,22600,21900,22300,2954622
20240904,21500,22500,21450,21800,2971274
20240903,21450,22350,21450,21800,2067773
20240902,21600,21850,21100,21400,1486956
20240830,22150,22350,21300,21700,3678854
20240829,22350,22550,21900,22250,2762969
20240828,22750,22950,22500,22550,3021971
20240827,22050,22850,21900,22750,4545948
20240826,21250,22300,21150,22100,5259084
20240823,21000,21300,20900,21200,1706057
20240822,21150,21300,20700,21050,2700856
