date,open,high,low,close,volume
20250116,18280,18950,18240,18670,1382484
20250115,18270,18470,17890,17890,1316752
20250114,18130,18490,18120,18150,1022040
20250113,18560,18620,18020,18140,1493543
20250110,17680,19000,17680,18560,4931445
20250109,17520,17830,17170,17640,1399152
20250108,17840,18210,17540,17750,1318609
20250107,18250,18390,17730,17770,1534971
20250106,17910,18200,17410,17940,2065725
20250103,16470,18350,16380,17880,6915309
20250102,16210,16430,16020,16150,845879
20241230,15220,16420,15220,16120,1059885
20241227,15960,15980,15220,15450,880515
20241226,16080,16520,15810,15960,1105680
20241224,15900,16320,15820,15840,622956
20241223,15750,15920,15450,15760,575510
20241220,15940,15970,15370,15530,898605
20241219,16080,16170,15820,15980,606105
20241218,16690,16830,16350,16410,582207
20241217,17080,17290,16480,16540,953146
20241216,17350,17790,16850,16930,1256193
20241213,16740,17220,16480,16850,1163003
20241212,16820,16920,16340,16760,1496768
20241211,16350,16900,16210,16430,783522
20241210,15040,16460,15040,16330,2016305
20241209,15400,15540,14860,14860,1784306
20241206,16160,16530,15510,15890,1723986
20241205,17350,17380,16150,16150,2265204
20241204,16900,17900,16820,17510,2373070
20241203,16870,17480,16840,17260,1709726
20241202,16500,17140,16390,16390,1368906
20241129,17210,17210,16220,16220,1950844
20241128,16950,17430,16880,17090,888783
20241127,17480,17970,16910,16920,1428156
20241126,17160,17700,16950,17670,3068011
20241125,16610,18360,16610,16820,14038200
20241122,16940,17160,16570,16590,1514250
20241121,17100,17270,16830,16830,1060567
20241120,17360,17520,17050,17080,713970
20241119,17600,18190,17300,17350,1221580
20241118,17000,17920,16710,17600,1106922
20241115,17760,18250,16660,17040,1455806
20241114,17130,17500,16560,17500,1309171
20241113,17500,17960,17130,17130,1113447
20241112,18200,18400,17510,17730,1419361
20241111,18770,19000,18290,18380,1170963
20241108,19150,20200,19090,19090,1548407
20241107,19910,19970,18310,18920,3451817
20241106,22250,22350,20000,20100,2686924
20241105,22250,22400,21300,21900,961684
20241104,22150,22800,21650,22150,1716437
20241101,21200,21750,21000,21500,525064
20241031,21400,21900,20900,21450,782843
20241030,21650,22100,21100,21500,848758
20241029,21800,22200,21300,21900,843068
20241028,20700,21750,20650,21750,1023476
20241025,20650,20750,20400,20450,388279
