date,open,high,low,close,volume
20250116,254000,254500,250000,250500,41540
20250115,254000,258000,250500,253500,186326
20250114,252000,253500,248500,253500,136292
20250113,255000,257000,250500,254000,163787
20250110,251000,259000,251000,257500,215004
20250109,251000,261500,250500,253000,241446
20250108,247000,254500,245000,251000,168941
20250107,244000,251500,244000,249000,160434
20250106,245500,248500,238000,244500,146101
20250103,245500,251000,245500,246500,110801
20250102,238000,253500,237500,249000,256370
20241230,236000,240000,235500,236500,72518
20241227,240500,243000,234500,236500,186396
20241226,242000,244000,239500,242000,94291
20241224,244000,246000,239500,243000,131161
20241223,245500,245500,241000,244000,130390
20241220,247000,250000,244000,244000,498832
20241219,248000,256000,247500,250000,251708
20241218,241500,252500,241500,252000,191753
20241217,237000,239500,235500,239500,175405
20241216,244500,245500,236000,237500,170497
20241213,247500,249500,242000,244000,266223
20241212,248500,250000,244000,246500,277092
20241211,246500,250500,243000,249500,124618
20241210,246000,252000,243000,248500,191480
20241209,239000,244000,235500,243000,280707
20241206,238500,242000,235000,237000,161793
20241205,236000,238000,232000,236500,167928
20241204,238500,239500,234000,238000,180887
20241203,250000,250000,240000,242000,180439
20241202,244000,251000,241500,245500,134852
20241129,246000,246500,237000,239500,151105
20241128,244000,247500,240500,245500,104136
20241127,245500,250000,243500,246000,151646
20241126,247000,249500,243000,249000,149204
20241125,256000,256500,246500,246500,394158
20241122,256500,257000,251500,254000,114974
20241121,257000,260000,254000,254000,184627
20241120,251500,260000,246500,255000,300972
20241119,258500,261000,249000,250500,360926
20241118,250000,261000,249500,258500,241106
20241115,259500,260500,249000,251500,195549
20241114,255000,260500,251500,255500,340074
20241113,255500,257500,251000,253000,213941
20241112,254500,263500,254000,255500,365772
20241111,242000,258000,242000,254500,284905
20241108,244000,246500,241000,244500,146578
20241107,239000,242500,235000,239500,200752
20241106,246000,247500,241000,242500,128055
20241105,246500,248000,241500,245500,161446
20241104,248500,248500,243000,248500,140918
20241101,248500,252500,245000,248500,164016
20241031,246000,249500,242000,249500,231029
20241030,247500,250500,243500,248500,180057
20241029,250500,251000,243000,247500,246769
20241028,258500,261000,249000,253000,253856
20241025,249500,267000,248000,256500,823915
20241024,247500,252000,245000,250000,330967
20241023,249000,250000,246000,246500,146519
20241022,241000,249500,240000,247500,271792
20241021,245500,247000,240500,244000,142405
20241018,244000,246000,241500,244500,218631
20241017,240000,243500,237500,242000,395985
20241016,223000,242500,223000,241500,624192
20241015,224000,226500,222000,224000,120670
20241014,223500,225000,220500,223500,91463
20241011,225000,226500,222500,224500,145064
20241010,227500,227500,221000,221500,204692
20241008,214500,218000,213500,217000,113840
20241007,217500,219000,214500,216000,93395
20241004,217000,219500,213000,217000,128571
20241002,214500,217000,212000,214500,128535
20240930,222500,224000,217500,217500,140514
20240927,226000,226500,221500,221500,129908
20240926,222500,227000,220500,227000,171774
20240925,227500,228500,222000,223000,151212
20240924,224500,226000,221500,225500,111101
20240923,225500,226000,219000,223500,88398
20240920,225000,226500,222000,223500,214301
20240919,228500,228500,222000,223000,186572
20240913,215500,224500,214500,223500,267522
20240912,209500,213500,209000,213500,257747
20240911,211500,212500,207000,208500,101821
20240910,211500,212500,208000,211500,144653
20240909,210500,215000,210500,212500,85628
20240906,213000,218500,212000,214000,191717
20240905,207500,213000,207500,211500,132903
20240904,209500,210500,207000,207000,217407
20240903,214500,215500,210500,211000,189400
20240902,218000,220000,211500,214000,162284
20240830,221500,223000,217500,217500,353464
20240829,226500,227500,219500,219500,201534
20240828,221000,226000,219500,224000,161114
20240827,222500,223000,219000,222000,86857
20240826,220500,222500,218500,221500,85447
20240823,219000,221500,218500,219500,134548
20240822,220500,221000,218500,219000,102571
20240821,220500,222000,219000,220000,85086
20240820,222500,223500,219000,219000,100000
20240819,220500,222500,219500,220500,101032
20240816,220000,224500,220000,220000,154796
20240814,218000,219000,216000,218000,97843
20240813,216500,220000,216500,216500,111010
20240812,213500,220000,212500,218500,148949
20240809,215500,217000,212000,212500,157882
20240808,210000,214000,207500,214000,206961
20240807,208500,213500,207000,212000,153684
20240806,211500,216500,209500,213000,228803
20240805,215000,215500,200500,204000,316073
20240802,218000,219500,216500,217500,158538
20240801,220500,222500,219500,219500,156454
20240731,222500,224000,219500,220500,240062
20240730,225500,227500,222000,222000,147006
20240729,226000,230500,225500,228000,192060
20240726,227500,230500,221000,225500,313091
20240725,223000,227500,223000,225500,211847
20240724,222500,227000,220500,224500,144068
20240723,223500,227500,222500,222500,128614
20240722,223500,223500,220000,221500,93950
20240719,223000,224000,221000,223500,145318
20240718,229000,229000,222000,224000,178580
20240717,231500,232000,227000,229000,153396
20240716,233000,233500,230500,231000,118210
20240715,235500,236500,231500,232000,88471
20240712,234000,235000,231500,234500,109546
20240711,235500,236500,233500,235500,158774
20240710,232500,235500,232000,233500,105724
20240709,238000,238000,230500,233500,246272
20240708,240500,241000,235500,237500,166934
20240705,241000,244500,239000,242000,181925
20240704,240000,243000,238000,241000,111039
20240703,237500,240500,236500,238500,163749
20240702,244000,245500,235000,235500,336255
20240701,250000,252500,243500,247500,168879
20240628,252500,257500,248500,251500,286548
20240627,249000,254500,248000,250500,261650
20240626,247000,253500,247000,252500,267317
20240625,240500,253000,239500,250500,532626
20240624,235500,241500,234000,238000,167704
20240621,239500,239500,233000,237500,251784
20240620,238500,241500,236500,238500,208360
20240619,235000,246500,234000,242000,402946
20240618,237000,240500,233500,235500,323533
20240617,238000,242500,232500,235000,393848
20240614,220500,253500,220000,238000,1763305
20240613,222500,225000,221000,221500,374303
20240612,219000,221000,218500,221000,105623
20240611,221000,223000,218000,219000,233642
20240610,221000,224500,219000,221500,182446
20240607,224000,227000,222000,223000,206377
20240605,220500,224000,219000,222000,246551
20240604,220000,222000,218500,220000,202441
20240603,216000,222000,216000,220000,224992
20240531,217500,218000,213500,214500,291527
20240530,214500,216000,212000,215000,202252
20240529,217500,219000,213500,217500,266959
20240528,220500,221500,218000,219000,176418
20240527,221500,223500,220000,221000,167702
20240524,224500,225500,221000,221500,182786
20240523,227500,230500,227000,227500,161706
20240522,222500,231500,221500,230000,203632
20240521,225500,226500,223000,223500,166506
20240520,226500,230000,226000,227500,144822
20240517,228000,228500,226500,227000,100694
20240516,227000,229000,226000,227000,168980
20240514,226000,227000,224000,224500,167796
20240513,227000,230000,225500,227000,141987
20240510,228000,228000,226000,227000,111031
20240509,232000,232000,225000,226000,235106
20240508,228500,232500,228500,232000,168185
20240507,228500,229500,227500,228500,178015
20240503,227500,229000,226000,226000,147544
20240502,226000,228000,225000,226000,207204
20240430,230500,232500,228000,228500,260074
20240429,239500,242500,229000,229500,455640
20240426,245500,247000,239500,240500,147522
20240425,241500,248500,241000,244000,158635
20240424,240000,244500,237500,243500,131348
20240423,238000,243000,236500,238500,134543
20240422,239000,239500,235000,239000,155158
20240419,231000,235000,229000,234500,181634
20240418,239000,240000,233000,235000,175371
20240417,239000,239000,233000,234500,132408
20240416,239500,240500,234000,238000,187172
20240415,239500,243000,236000,242500,120501
20240412,246000,248500,240500,240500,199565
20240411,234500,253500,234000,251000,290007
20240409,247500,251500,243000,243000,130378
20240408,240500,247500,240500,243000,146813
20240405,240000,245000,239000,242500,129340
20240404,243500,245500,238500,244000,158989
20240403,246500,249500,238500,240500,263093
20240402,248000,251000,245000,247500,193887
20240401,257500,259000,249000,251000,201785
20240329,261500,262500,254500,255000,148181
20240328,263000,264500,258000,261500,199500
20240327,260000,266000,260000,264500,160180
20240326,259000,267000,257000,264500,278347
20240325,259500,264000,257000,258000,183402
20240322,264500,267000,260000,262000,300132
20240321,257000,267000,256500,266000,321963
20240320,257500,259000,249000,253000,376506
20240319,265000,265500,253500,253500,392572
20240318,269500,270000,265500,268000,202563
20240315,265000,269000,263500,269000,587592
20240314,252000,268000,251500,265000,640155
20240313,252500,254500,249000,253500,180760
20240312,250500,251000,246500,250500,232180
20240311,251500,255000,249000,250000,163621
20240308,256500,257500,252000,253000,204348
20240307,255500,258000,251500,253000,221468
20240306,249500,255500,248000,254000,303063
20240305,252000,257000,250500,253000,276135
20240304,244500,253000,244000,252000,343794
20240229,239500,248000,238000,242500,386359
20240228,232500,243000,230000,242000,282388
20240227,234500,238000,233000,233500,282830
20240226,247000,247000,235500,241000,210199
20240223,243000,250000,242500,247000,312190
20240222,241000,246000,237500,244500,191554
20240221,242500,242500,234500,240500,187271
