date,open,high,low,close,volume
20250116,223000,224000,221500,222500,69690
20250115,222000,224000,220500,220500,492913
20250114,221000,224500,219500,222000,547856
20250113,225500,226000,218500,220000,867629
20250110,215000,227000,215000,226000,1951806
20250109,215000,219500,213000,213000,866529
20250108,209500,215500,209000,213500,603411
20250107,211500,214000,210500,211000,511955
20250106,213000,213500,207000,211500,782307
20250103,211500,215000,211000,213000,456107
20250102,212000,216000,210500,211500,437773
20241230,213500,217000,212000,212000,387750
20241227,217000,217500,213500,215000,391681
20241226,217500,219500,215000,217500,460871
20241224,215000,217000,213000,216500,351647
20241223,212500,216500,212000,215000,468339
20241220,210500,211500,206000,210500,704962
20241219,213000,214000,210500,212000,631880
20241218,207500,217000,207500,216500,712305
20241217,210000,212500,205500,206500,715553
20241216,215500,216000,210500,211000,469448
20241213,212000,216000,209000,215000,528172
20241212,210500,213000,209500,211500,625351
20241211,208000,211000,207500,209000,335301
20241210,205500,211500,204000,210500,619392
20241209,201000,203000,200000,201000,774548
20241206,203500,206000,200000,203500,778285
20241205,209000,210500,204000,204500,604002
20241204,208500,213000,207000,209000,919137
20241203,218000,218000,213500,214500,624929
20241202,219500,220500,215000,216000,520654
20241129,219000,220000,214500,218500,576357
20241128,224000,225000,218000,219000,593477
20241127,220000,226500,218500,221000,1094533
20241126,218000,224500,216500,223500,721544
20241125,219000,221500,216500,219000,726301
20241122,216000,218500,214500,217000,419056
20241121,218500,219500,215500,215500,499737
20241120,213000,220500,212500,218500,572617
20241119,217000,219000,213000,215500,540792
20241118,206000,218000,206000,217000,1115993
20241115,200000,208500,199900,206000,709396
20241114,200500,203500,197300,201500,817142
20241113,206000,206000,199900,199900,778547
20241112,213000,213500,206500,207000,911213
20241111,203500,212500,203500,211000,856539
20241108,209500,210500,202500,203500,716859
20241107,203500,210500,201000,207500,1108161
20241106,214000,214500,205500,206500,1880618
20241105,214000,215500,211500,215000,615978
20241104,215000,220500,214000,216500,748180
20241101,212500,216500,211500,213500,765177
20241031,220500,221500,215000,215000,1075398
20241030,223000,225000,220500,220500,554300
20241029,226000,226500,221000,224000,746178
20241028,226000,229000,224000,226500,639039
20241025,226500,231000,220500,225500,1116832
20241024,241000,241000,228000,228500,1209781
20241023,236500,243000,234000,241000,671384
20241022,236000,239000,232500,234500,517834
20241021,235000,240000,234500,237000,443742
20241018,237000,239000,233000,234500,696368
20241017,245000,246000,235500,235500,923060
